DATE TIME,AGP
2016-09-25,65.0
2016-09-26,69.0
2016-09-27,73.0
2016-09-28,68.0
2016-09-29,61.0
2016-09-30,59.0
2016-10-01,57.0
2016-10-02,42.0
2016-10-03,35.0
2016-10-04,54.0
2016-10-05,51.0
2016-10-06,59.0
2016-10-07,64.0
2016-10-08,66.0
2016-10-09,65.0
2016-10-10,58.0
2016-10-11,61.0
2016-10-12,62.0
2016-10-13,59.0
2016-10-14,46.0
2016-10-15,44.0
2016-10-16,39.0
2016-10-17,47.0
2016-10-18,54.0
2016-10-19,57.0
2016-10-20,65.0
2016-10-21,59.0
2016-10-22,55.0
2016-10-23,52.0
2016-10-24,42.0
2016-10-25,54.0
2016-10-26,57.0
2016-10-27,47.0
2016-10-28,40.0
2016-10-29,47.0
2016-10-30,40.0
2016-10-31,47.0
2016-11-01,42.0
2016-11-02,55.0
2016-11-03,60.0
2016-11-04,59.0
2016-11-05,55.0
2016-11-06,47.0
2016-11-07,60.0
2016-11-08,62.0
2016-11-09,62.0
2016-11-10,60.0
2016-11-11,57.0
2016-11-12,54.0
2016-11-13,59.0
2016-11-14,62.0
2016-11-15,55.0
2016-11-16,36.0
2016-11-17,39.0
2016-11-18,47.0
2016-11-19,39.0
2016-11-20,38.0
2016-11-21,36.0
2016-11-22,45.0
2016-11-23,35.0
2016-11-24,45.0
2016-11-25,38.0
2016-11-26,32.0
2016-11-27,32.0
2016-11-28,37.0
2016-11-29,41.0
2016-11-30,41.0
2016-12-01,26.0
2016-12-02,28.0
2016-12-03,49.0
2016-12-04,52.0
2016-12-05,38.0
2016-12-06,33.0
2016-12-07,42.0
2016-12-08,41.0
2016-12-09,44.0
2016-12-10,39.0
2016-12-11,43.0
2016-12-12,39.0
2016-12-13,41.0
2016-12-14,44.0
2016-12-15,38.0
2016-12-16,30.0
2016-12-17,37.0
2016-12-18,27.0
2016-12-19,52.0
2016-12-20,54.0
2016-12-21,50.0
2016-12-22,49.0
2016-12-23,29.0
2016-12-24,21.0
2016-12-25,27.0
2016-12-26,41.0
2016-12-27,48.0
2016-12-28,55.0
2016-12-29,55.0
2016-12-30,39.0
2016-12-31,33.0
2017-01-01,37.0
2017-01-02,18.0
2017-01-03,26.0
2017-01-04,30.0
2017-01-05,31.0
2017-01-06,39.0
2017-01-07,31.0
2017-01-08,36.0
2017-01-09,32.0
2017-01-10,27.0
2017-01-11,27.0
2017-01-12,25.0
2017-01-13,26.0
2017-01-14,44.0
2017-01-15,46.0
2017-01-16,39.0
2017-01-17,54.0
2017-01-18,34.0
2017-01-19,24.0
2017-01-20,22.0
2017-01-21,28.0
2017-01-22,26.0
2017-01-23,22.0
2017-01-24,30.0
2017-01-25,29.0
2017-01-26,26.0
2017-01-27,37.0
2017-01-28,47.0
2017-01-29,59.0
2017-01-30,57.0
2017-01-31,59.0
2017-02-01,42.0
2017-02-02,39.0
2017-02-03,
2017-02-04,43.0
2017-02-05,36.0
2017-02-06,30.0
2017-02-07,33.0
