DATE TIME,HNT
2017-03-04,50.0
2017-03-05,31.0
2017-03-06,36.0
2017-03-07,55.0
2017-03-08,61.0
2017-03-09,67.0
2017-03-10,61.0
2017-03-11,65.0
2017-03-12,64.0
2017-03-13,67.0
2017-03-14,69.0
2017-03-15,65.0
2017-03-16,61.0
2017-03-17,68.0
2017-03-18,60.0
2017-03-19,61.0
2017-03-20,57.0
2017-03-21,41.0
2017-03-22,38.0
2017-03-23,46.0
2017-03-24,43.0
2017-03-25,44.0
2017-03-26,46.0
2017-03-27,46.0
2017-03-28,52.0
2017-03-29,61.0
2017-03-30,38.0
2017-03-31,52.0
2017-04-01,58.0
2017-04-02,59.0
2017-04-03,54.0
2017-04-04,58.0
2017-04-05,64.0
2017-04-06,50.0
2017-04-07,38.0
2017-04-08,33.0
2017-04-09,51.0
2017-04-10,54.0
2017-04-11,48.0
2017-04-12,55.0
2017-04-13,37.0
2017-04-14,50.0
2017-04-15,59.0
2017-04-16,57.0
2017-04-17,49.0
2017-04-18,42.0
2017-04-19,54.0
2017-04-20,51.0
2017-04-21,64.0
2017-04-22,63.0
2017-04-23,52.0
2017-04-24,48.0
2017-04-25,49.0
2017-04-26,55.0
2017-04-27,52.0
2017-04-28,49.0
2017-04-29,57.0
2017-04-30,63.0
2017-05-01,64.0
2017-05-02,67.0
2017-05-03,71.0
2017-05-04,74.0
2017-05-05,61.0
2017-05-06,46.0
2017-05-07,46.0
2017-05-08,60.0
2017-05-09,62.0
2017-05-10,59.0
2017-05-11,59.0
2017-05-12,49.0
2017-05-13,47.0
2017-05-14,43.0
2017-05-15,35.0
2017-05-16,45.0
2017-05-17,46.0
2017-05-18,55.0
2017-05-19,61.0
2017-05-20,67.0
2017-05-21,70.0
2017-05-22,74.0
2017-05-23,76.0
2017-05-24,70.0
2017-05-25,60.0
2017-05-26,60.0
2017-05-27,66.0
2017-05-28,71.0
2017-05-29,71.0
2017-05-30,67.0
2017-05-31,53.0
2017-06-01,62.0
2017-06-02,71.0
2017-06-03,72.0
2017-06-04,70.0
2017-06-05,69.0
2017-06-06,71.0
2017-06-07,69.0
2017-06-08,60.0
2017-06-09,58.0
2017-06-10,53.0
2017-06-11,41.0
2017-06-12,45.0
2017-06-13,59.0
2017-06-14,69.0
2017-06-15,70.0
2017-06-16,77.0
2017-06-17,77.0
2017-06-18,84.0
