DATE TIME,BDM
2017-01-09,46.0
2017-01-10,42.0
2017-01-11,43.0
2017-01-12,37.0
2017-01-13,46.0
2017-01-14,55.0
2017-01-15,56.0
2017-01-16,58.0
2017-01-17,54.0
2017-01-18,46.0
2017-01-19,37.0
2017-01-20,34.0
2017-01-21,34.0
2017-01-22,39.0
2017-01-23,33.0
2017-01-24,39.0
2017-01-25,41.0
2017-01-26,39.0
2017-01-27,43.0
2017-01-28,62.0
2017-01-29,65.0
2017-01-30,67.0
2017-01-31,67.0
2017-02-01,59.0
2017-02-02,51.0
2017-02-03,
2017-02-04,51.0
2017-02-05,50.0
2017-02-06,44.0
2017-02-07,49.0
2017-02-08,58.0
2017-02-09,56.0
2017-02-10,44.0
2017-02-11,47.0
2017-02-12,57.0
2017-02-13,61.0
2017-02-14,66.0
2017-02-15,68.0
2017-02-16,51.0
2017-02-17,41.0
2017-02-18,43.0
2017-02-19,43.0
2017-02-20,45.0
2017-02-21,45.0
2017-02-22,46.0
2017-02-23,35.0
2017-02-24,38.0
2017-02-25,46.0
2017-02-26,46.0
2017-02-27,38.0
2017-02-28,44.0
2017-03-01,53.0
2017-03-02,63.0
2017-03-03,63.0
2017-03-04,58.0
2017-03-05,38.0
2017-03-06,46.0
2017-03-07,59.0
2017-03-08,60.0
2017-03-09,68.0
2017-03-10,65.0
2017-03-11,67.0
2017-03-12,70.0
2017-03-13,78.0
2017-03-14,75.0
2017-03-15,72.0
2017-03-16,70.0
2017-03-17,72.0
2017-03-18,64.0
2017-03-19,69.0
2017-03-20,59.0
2017-03-21,50.0
2017-03-22,47.0
2017-03-23,45.0
2017-03-24,53.0
2017-03-25,47.0
2017-03-26,49.0
2017-03-27,51.0
2017-03-28,47.0
2017-03-29,64.0
2017-03-30,51.0
2017-03-31,58.0
2017-04-01,64.0
2017-04-02,68.0
2017-04-03,64.0
2017-04-04,67.0
2017-04-05,69.0
2017-04-06,58.0
2017-04-07,46.0
2017-04-08,43.0
2017-04-09,55.0
2017-04-10,57.0
2017-04-11,59.0
2017-04-12,62.0
2017-04-13,48.0
2017-04-14,50.0
2017-04-15,65.0
2017-04-16,63.0
2017-04-17,56.0
2017-04-18,49.0
2017-04-19,56.0
2017-04-20,61.0
2017-04-21,65.0
2017-04-22,69.0
2017-04-23,60.0
2017-04-24,60.0
2017-04-25,57.0
2017-04-26,61.0
2017-04-27,65.0
2017-04-28,62.0
2017-04-29,65.0
2017-04-30,70.0
2017-05-01,73.0
2017-05-02,76.0
2017-05-03,83.0
2017-05-04,83.0
2017-05-05,70.0
2017-05-06,52.0
2017-05-07,53.0
2017-05-08,60.0
2017-05-09,71.0
2017-05-10,69.0
2017-05-11,67.0
2017-05-12,51.0
2017-05-13,57.0
2017-05-14,56.0
2017-05-15,47.0
2017-05-16,57.0
2017-05-17,58.0
2017-05-18,67.0
2017-05-19,74.0
2017-05-20,78.0
2017-05-21,81.0
2017-05-22,84.0
2017-05-23,87.0
2017-05-24,80.0
2017-05-25,68.0
2017-05-26,55.0
2017-05-27,72.0
2017-05-28,81.0
2017-05-29,80.0
2017-05-30,73.0
2017-05-31,61.0
2017-06-01,69.0
2017-06-02,81.0
2017-06-03,83.0
2017-06-04,81.0
2017-06-05,81.0
2017-06-06,84.0
2017-06-07,78.0
2017-06-08,72.0
2017-06-09,67.0
2017-06-10,64.0
2017-06-11,54.0
2017-06-12,60.0
2017-06-13,70.0
2017-06-14,77.0
2017-06-15,82.0
2017-06-16,84.0
2017-06-17,87.0
2017-06-18,95.0
2017-06-19,95.0
2017-06-20,93.0
2017-06-21,93.0
2017-06-22,94.0
2017-06-23,93.0
2017-06-24,91.0
2017-06-25,88.0
2017-06-26,84.0
2017-06-27,82.0
2017-06-28,84.0
2017-06-29,86.0
2017-06-30,87.0
2017-07-01,84.0
2017-07-02,85.0
2017-07-03,86.0
2017-07-04,88.0
2017-07-05,92.0
2017-07-06,92.0
2017-07-07,94.0
2017-07-08,93.0
2017-07-09,91.0
2017-07-10,92.0
2017-07-11,91.0
2017-07-12,87.0
2017-07-13,86.0
2017-07-14,88.0
2017-07-15,92.0
2017-07-16,92.0
2017-07-17,95.0
2017-07-18,90.0
2017-07-19,85.0
2017-07-20,84.0
2017-07-21,84.0
2017-07-22,89.0
2017-07-23,92.0
2017-07-24,86.0
2017-07-25,85.0
2017-07-26,87.0
2017-07-27,89.0
2017-07-28,89.0
2017-07-29,90.0
2017-07-30,90.0
2017-07-31,92.0
2017-08-01,92.0
2017-08-02,93.0
2017-08-03,88.0
2017-08-04,86.0
2017-08-05,84.0
2017-08-06,85.0
2017-08-07,85.0
2017-08-08,84.0
2017-08-09,86.0
2017-08-10,86.0
2017-08-11,87.0
2017-08-12,88.0
2017-08-13,86.0
2017-08-14,80.0
2017-08-15,76.0
2017-08-16,80.0
2017-08-17,85.0
