,params,total_trades,combined_win_rate,combined_sharpe,combined_pnl,avg_win_rate,avg_sharpe,avg_pnl
235,"{'vwap_length': 60, 'mfi_length': 11, 'mfi_oversold': 30, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",11492,0.5792959219240154,0.5779765612913551,9274128.353115434,0.5801361453842129,0.12511219651249725,215677.40356082408
242,"{'vwap_length': 60, 'mfi_length': 11, 'mfi_oversold': 30, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",11302,0.5862130072656389,0.576166403168256,9622787.375372112,0.5880827115439866,0.12775159288470214,223785.75291563047
1,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",13075,0.5960802327361813,0.5704541324836807,9163619.883845424,0.5945392994787939,0.1816849278026291,213107.4391591959
13,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 25, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",14200,0.5989847715736041,0.5704322581538529,9893002.133080013,0.5975528379354944,0.20698151812532228,230069.81704837244
86,"{'vwap_length': 50, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",12397,0.5960264900662252,0.5682467727658507,9080516.35304975,0.595901939448007,0.1575599289626905,211174.79890813367
2,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",13003,0.5995381062355658,0.565520582272358,9140943.984099764,0.5986000533882578,0.18147228760177497,212580.0926534829
200,"{'vwap_length': 60, 'mfi_length': 9, 'mfi_oversold': 25, 'mfi_overbought': 70, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",11799,0.5918194161575017,0.5516803624533265,8719738.848059751,0.5920500574912569,0.15031986666067637,202784.62437348254
14,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 25, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 32, 'profit_target': 0.02, 'stop_loss': 0.02}",14106,0.6028388928317956,0.5409125007728294,9489583.425036527,0.602310801890509,0.20572874085187712,220687.98662875645
166,"{'vwap_length': 60, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 75, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",12164,0.5911111111111111,0.5396728956836986,8505494.139458893,0.5894715515116585,0.1613271870183551,197802.18928974174
7,"{'vwap_length': 40, 'mfi_length': 7, 'mfi_oversold': 20, 'mfi_overbought': 80, 'regime_window': 20, 'vol_percentile': 67, 'size_factor': 1.0, 'max_position': 0.25, 'max_hold_hours': 24, 'profit_target': 0.02, 'stop_loss': 0.02}",12942,0.5953891381711279,0.5331580147875585,8932901.925078886,0.5929702913930014,0.1815589322413951,207741.9052343927
