Date,close,high,low,trades,open,volume,vwap,returns,roll_std,ma_fast,ma_slow,signal,pos_size,position,position_next
2023-12-20 05:00:00,81.72,83.26,81.62,136837,82.78,19909087,82.56,-0.009334464783610108,0.21862033737337894,80.411,80.33404999999999,1,0.6861209762827138,0.6861209762827138,0.6876091629114441
2023-12-21 05:00:00,82.04,82.17,81.27,97507,81.89,13031439,81.78,0.003915810083211069,0.2122019372702504,80.457,80.34775,1,0.7068738448984714,0.7068738448984714,0.6861209762827138
2023-12-22 05:00:00,82.28,82.99,82.15,89986,82.63,12519454,82.56,0.0029254022428082394,0.21231621175583273,80.49799999999999,80.36825,1,0.7064933857524227,0.7064933857524227,0.7068738448984714
2023-12-26 05:00:00,82.99,83.43,82.73,86419,82.98,12991727,83.14,0.008629071463295945,0.2094409191624627,80.589,80.3973,1,0.7161924225869779,0.7161924225869779,0.7064933857524227
2023-12-27 05:00:00,82.62,83.27,82.32,80391,82.99,10119096,82.71,-0.004458368478129748,0.20575818620086803,80.6605,80.43235,1,0.7290110884072135,0.7290110884072135,0.7161924225869779
2023-12-28 05:00:00,81.36,82.51,81.33,97206,82.2,13099049,81.83,-0.015250544662309462,0.20800194944146397,80.699,80.45735,1,0.7211470838693558,0.7211470838693558,0.7290110884072135
2023-12-29 05:00:00,81.18,81.72,80.94,89004,81.64,12172730,81.2,-0.0022123893805309214,0.19788435412012495,80.702,80.50195,1,0.7580184896827395,0.7580184896827395,0.7211470838693558
2024-01-02 05:00:00,82.05,82.81,81.63,132641,81.75,19650895,82.2,0.010716925351071493,0.19872320530605767,80.72749999999999,80.54695000000001,1,0.754818739030317,0.754818739030317,0.7580184896827395
2024-01-03 05:00:00,83.39,83.68,81.76,136812,82.18,18967999,83.03,0.016331505179768557,0.20113843994122563,80.8385,80.6044,1,0.7457550098234642,0.7457550098234642,0.754818739030317
2024-01-04 05:00:00,81.92,84.34,81.88,141934,83.99,21024516,82.73,-0.017628012951193206,0.19233484605612458,80.947,80.6474,1,0.7798898758903996,0.7798898758903996,0.7457550098234642
2024-01-05 05:00:00,81.99,82.75,81.61,123083,82.71,17014649,82.11,0.0008544921875,0.1923237100564005,81.1185,80.67805,1,0.7799350333667973,0.7799350333667973,0.7798898758903996
2024-01-08 05:00:00,81.04,81.14,79.5,165840,80.6,23609342,80.37,-0.011586778875472437,0.19200571431689725,81.26950000000001,80.712,1,0.7812267450082483,0.7812267450082483,0.7799350333667973
2024-01-09 05:00:00,79.75,81.24,79.57,120471,81.15,16875228,79.94,-0.015918065153010974,0.1945386121046389,81.3135,80.74465000000001,1,0.7710551525280877,0.7710551525280877,0.7812267450082483
2024-01-10 05:00:00,78.96,79.93,78.64,115365,79.9,16579879,79.03,-0.00990595611285272,0.18948384424398723,81.3135,80.77195,1,0.7916242136993462,0.7916242136993462,0.7710551525280877
2024-01-11 05:00:00,79.16,79.59,78.85,122580,79.39,19294285,79.21,0.002532928064842954,0.18893252683245182,81.3775,80.7924,1,0.7939342246721127,0.7939342246721127,0.7916242136993462
2024-01-12 05:00:00,80.06,80.7,79.57,124139,80.38,19384795,79.93,0.011369378473976788,0.18920030111958752,81.43249999999999,80.81155000000001,1,0.7928105733424767,0.7928105733424767,0.7939342246721127
2024-01-16 05:00:00,78.15,79.99,78.1,127747,79.88,18015626,78.64,-0.02385710716962275,0.19339087682109696,81.2755,80.81585,1,0.775631207066358,0.775631207066358,0.7928105733424767
2024-01-17 05:00:00,77.5,78.27,77.17,137446,77.34,19642135,77.62,-0.008317338451695577,0.19383060910538832,81.108,80.8152,1,0.7738715774481799,0.7738715774481799,0.775631207066358
