date,total_value
1970-01-01 00:00:00.000000371,
1970-01-01 00:00:00.000000372,
1970-01-01 00:00:00.000000373,
1970-01-01 00:00:00.000000374,
1970-01-01 00:00:00.000000375,
1970-01-01 00:00:00.000000376,
1970-01-01 00:00:00.000000377,
1970-01-01 00:00:00.000000378,
1970-01-01 00:00:00.000000379,
1970-01-01 00:00:00.000000380,
1970-01-01 00:00:00.000000381,
1970-01-01 00:00:00.000000382,
1970-01-01 00:00:00.000000383,
1970-01-01 00:00:00.000000384,
1970-01-01 00:00:00.000000385,
1970-01-01 00:00:00.000000386,
1970-01-01 00:00:00.000000387,
1970-01-01 00:00:00.000000388,
1970-01-01 00:00:00.000000389,
1970-01-01 00:00:00.000000390,
1970-01-01 00:00:00.000000391,
1970-01-01 00:00:00.000000392,
1970-01-01 00:00:00.000000393,
1970-01-01 00:00:00.000000394,
1970-01-01 00:00:00.000000395,
1970-01-01 00:00:00.000000396,
1970-01-01 00:00:00.000000397,
1970-01-01 00:00:00.000000398,
1970-01-01 00:00:00.000000399,
1970-01-01 00:00:00.000000400,
1970-01-01 00:00:00.000000401,
1970-01-01 00:00:00.000000402,
1970-01-01 00:00:00.000000403,
1970-01-01 00:00:00.000000404,
1970-01-01 00:00:00.000000405,
1970-01-01 00:00:00.000000406,
1970-01-01 00:00:00.000000407,
1970-01-01 00:00:00.000000408,
1970-01-01 00:00:00.000000409,
1970-01-01 00:00:00.000000410,
1970-01-01 00:00:00.000000411,
1970-01-01 00:00:00.000000412,
1970-01-01 00:00:00.000000413,
1970-01-01 00:00:00.000000414,
1970-01-01 00:00:00.000000415,
1970-01-01 00:00:00.000000416,
1970-01-01 00:00:00.000000417,
1970-01-01 00:00:00.000000418,
1970-01-01 00:00:00.000000419,
1970-01-01 00:00:00.000000420,
1970-01-01 00:00:00.000000421,
1970-01-01 00:00:00.000000422,
1970-01-01 00:00:00.000000423,
1970-01-01 00:00:00.000000424,
1970-01-01 00:00:00.000000425,
1970-01-01 00:00:00.000000426,
1970-01-01 00:00:00.000000427,
1970-01-01 00:00:00.000000428,
1970-01-01 00:00:00.000000429,
1970-01-01 00:00:00.000000430,
1970-01-01 00:00:00.000000431,
1970-01-01 00:00:00.000000432,
1970-01-01 00:00:00.000000433,
1970-01-01 00:00:00.000000434,
1970-01-01 00:00:00.000000435,
1970-01-01 00:00:00.000000436,
1970-01-01 00:00:00.000000437,
1970-01-01 00:00:00.000000438,
1970-01-01 00:00:00.000000439,
1970-01-01 00:00:00.000000440,
1970-01-01 00:00:00.000000441,
1970-01-01 00:00:00.000000442,
1970-01-01 00:00:00.000000443,
1970-01-01 00:00:00.000000444,
1970-01-01 00:00:00.000000445,
1970-01-01 00:00:00.000000446,
1970-01-01 00:00:00.000000447,
1970-01-01 00:00:00.000000448,
1970-01-01 00:00:00.000000449,
1970-01-01 00:00:00.000000450,
1970-01-01 00:00:00.000000451,
1970-01-01 00:00:00.000000452,
1970-01-01 00:00:00.000000453,
1970-01-01 00:00:00.000000454,
1970-01-01 00:00:00.000000455,
1970-01-01 00:00:00.000000456,
1970-01-01 00:00:00.000000457,
1970-01-01 00:00:00.000000458,
1970-01-01 00:00:00.000000459,
1970-01-01 00:00:00.000000460,
1970-01-01 00:00:00.000000461,
1970-01-01 00:00:00.000000462,
1970-01-01 00:00:00.000000463,
1970-01-01 00:00:00.000000464,
1970-01-01 00:00:00.000000465,
1970-01-01 00:00:00.000000466,
1970-01-01 00:00:00.000000467,
1970-01-01 00:00:00.000000468,
1970-01-01 00:00:00.000000469,
1970-01-01 00:00:00.000000470,
1970-01-01 00:00:00.000000471,
1970-01-01 00:00:00.000000472,
1970-01-01 00:00:00.000000473,
1970-01-01 00:00:00.000000474,
1970-01-01 00:00:00.000000475,
1970-01-01 00:00:00.000000476,
1970-01-01 00:00:00.000000477,
1970-01-01 00:00:00.000000478,
1970-01-01 00:00:00.000000479,
1970-01-01 00:00:00.000000480,
1970-01-01 00:00:00.000000481,
1970-01-01 00:00:00.000000482,
1970-01-01 00:00:00.000000483,
1970-01-01 00:00:00.000000484,
1970-01-01 00:00:00.000000485,
1970-01-01 00:00:00.000000486,
1970-01-01 00:00:00.000000487,
1970-01-01 00:00:00.000000488,
1970-01-01 00:00:00.000000489,
1970-01-01 00:00:00.000000490,
1970-01-01 00:00:00.000000491,
1970-01-01 00:00:00.000000492,
1970-01-01 00:00:00.000000493,
1970-01-01 00:00:00.000000494,
1970-01-01 00:00:00.000000495,
1970-01-01 00:00:00.000000496,
1970-01-01 00:00:00.000000497,
1970-01-01 00:00:00.000000498,
1970-01-01 00:00:00.000000499,
1970-01-01 00:00:00.000000500,
1970-01-01 00:00:00.000000501,
1970-01-01 00:00:00.000000502,
1970-01-01 00:00:00.000000503,
1970-01-01 00:00:00.000000504,
1970-01-01 00:00:00.000000505,
1970-01-01 00:00:00.000000506,
1970-01-01 00:00:00.000000507,
1970-01-01 00:00:00.000000508,
1970-01-01 00:00:00.000000509,
1970-01-01 00:00:00.000000510,
1970-01-01 00:00:00.000000511,
1970-01-01 00:00:00.000000512,
1970-01-01 00:00:00.000000513,
1970-01-01 00:00:00.000000514,
1970-01-01 00:00:00.000000515,
1970-01-01 00:00:00.000000516,
1970-01-01 00:00:00.000000517,
1970-01-01 00:00:00.000000518,
1970-01-01 00:00:00.000000519,
1970-01-01 00:00:00.000000520,
1970-01-01 00:00:00.000000521,
1970-01-01 00:00:00.000000522,
1970-01-01 00:00:00.000000523,
1970-01-01 00:00:00.000000524,
1970-01-01 00:00:00.000000525,
1970-01-01 00:00:00.000000526,
1970-01-01 00:00:00.000000527,
1970-01-01 00:00:00.000000528,
1970-01-01 00:00:00.000000529,
1970-01-01 00:00:00.000000530,
1970-01-01 00:00:00.000000531,
1970-01-01 00:00:00.000000532,
1970-01-01 00:00:00.000000533,
1970-01-01 00:00:00.000000534,
1970-01-01 00:00:00.000000535,
1970-01-01 00:00:00.000000536,
1970-01-01 00:00:00.000000537,
1970-01-01 00:00:00.000000538,
1970-01-01 00:00:00.000000539,
1970-01-01 00:00:00.000000540,
1970-01-01 00:00:00.000000541,
1970-01-01 00:00:00.000000542,
1970-01-01 00:00:00.000000543,
1970-01-01 00:00:00.000000544,
1970-01-01 00:00:00.000000545,
1970-01-01 00:00:00.000000546,
1970-01-01 00:00:00.000000547,
1970-01-01 00:00:00.000000548,
1970-01-01 00:00:00.000000549,
1970-01-01 00:00:00.000000550,
1970-01-01 00:00:00.000000551,
1970-01-01 00:00:00.000000552,
1970-01-01 00:00:00.000000553,
1970-01-01 00:00:00.000000554,
1970-01-01 00:00:00.000000555,
1970-01-01 00:00:00.000000556,
1970-01-01 00:00:00.000000557,
1970-01-01 00:00:00.000000558,
