,timestamp,action,price,size,regime,pnl,exit_reason
83,2023-09-13 11:00:00,SELL,176.66,,bear_high_vol,7874.999999999944,signal
84,2023-09-13 13:00:00,BUY,175.8082,0.25,bear_high_vol,,
85,2023-09-14 13:00:00,SELL,175.37,,none,-10954.99999999987,time_exit
86,2023-09-15 13:00:00,BUY,174.985,0.25,bull_high_vol,,
87,2023-09-15 22:00:00,SELL,174.93,,bear_high_vol,-1375.0000000001705,signal
88,2023-09-20 19:00:00,BUY,175.49,0.25,bear_high_vol,,
89,2023-09-21 13:00:00,SELL,174.68,,bear_high_vol,-20250.00000000006,signal
90,2023-09-25 11:00:00,BUY,174.46,0.25,bull_high_vol,,
91,2023-09-25 13:00:00,SELL,175.34,,bull_high_vol,21999.999999999887,signal
92,2023-09-26 13:00:00,BUY,173.04,0.25,bear_high_vol,,
93,2023-09-27 12:00:00,SELL,172.94,,none,-2499.999999999858,signal
94,2023-09-27 13:00:00,BUY,171.51,0.25,bear_high_vol,,
95,2023-09-28 09:00:00,SELL,170.15,,none,-33999.99999999963,signal
96,2023-09-29 17:00:00,BUY,170.63,0.25,bull_high_vol,,
97,2023-09-29 18:00:00,SELL,171.5401,,bull_high_vol,22752.499999999996,signal
98,2023-10-03 14:00:00,BUY,171.51,0.25,bull_high_vol,,
99,2023-10-03 16:00:00,SELL,172.56,,bull_high_vol,26250.000000000284,signal
100,2023-10-13 15:00:00,BUY,178.61,0.25,bear_high_vol,,
101,2023-10-16 08:00:00,SELL,178.78,,none,4249.999999999687,time_exit
102,2023-10-17 13:00:00,BUY,175.3433,0.25,bear_high_vol,,
103,2023-10-17 22:00:00,SELL,176.95,,none,40167.49999999973,signal
104,2023-10-23 09:00:00,BUY,170.2,0.25,bear_high_vol,,
105,2023-10-23 17:00:00,SELL,173.521,,bear_high_vol,83024.99999999994,signal
106,2023-10-26 15:00:00,BUY,167.2682,0.25,bear_high_vol,,
107,2023-10-27 13:00:00,SELL,167.89,,bear_high_vol,15544.999999999476,signal
108,2023-11-24 14:00:00,BUY,190.0,0.25,bear_high_vol,,
109,2023-11-27 09:00:00,SELL,189.28,,none,-17999.99999999997,time_exit
110,2023-11-27 14:00:00,BUY,189.25,0.25,bear_high_vol,,
111,2023-11-28 13:00:00,SELL,190.08,,none,20750.000000000313,signal
112,2023-11-29 17:00:00,BUY,189.7022,0.25,bear_high_vol,,
113,2023-11-30 12:00:00,SELL,189.98,,none,6944.9999999996235,signal
114,2023-12-04 14:00:00,BUY,189.3972,0.25,bear_high_vol,,
115,2023-12-05 12:00:00,SELL,190.26,,bear_high_vol,21569.99999999982,signal
116,2023-12-11 14:00:00,BUY,192.89,0.25,bear_high_vol,,
117,2023-12-12 00:00:00,SELL,193.42,,none,13250.00000000003,signal
118,2023-12-18 20:00:00,BUY,195.8623,0.25,bear_high_vol,,
119,2023-12-19 20:00:00,SELL,196.92,,none,26442.49999999957,time_exit
120,2023-12-21 10:00:00,BUY,195.79,0.25,bear_high_vol,,
121,2023-12-21 13:00:00,SELL,196.05,,none,6500.000000000483,signal
122,2023-12-21 17:00:00,BUY,193.75,0.25,bear_high_vol,,
123,2023-12-22 10:00:00,SELL,194.53,,none,19500.00000000003,signal
124,2024-01-02 13:00:00,BUY,188.1,0.25,bear_high_vol,,
125,2024-01-02 19:00:00,SELL,184.05,,bear_high_vol,-101249.99999999958,stop_loss
126,2024-01-11 14:00:00,BUY,184.72,0.25,bear_high_vol,,
127,2024-01-11 18:00:00,SELL,185.1516,,bull_high_vol,10790.000000000076,signal
128,2024-01-16 14:00:00,BUY,181.34,0.25,bear_high_vol,,
129,2024-01-16 20:00:00,SELL,183.61,,bear_high_vol,56750.000000000255,signal
130,2024-01-26 21:00:00,BUY,192.29,0.25,bear_high_vol,,
131,2024-01-29 09:00:00,SELL,192.02,,none,-6749.999999999545,time_exit
132,2024-01-30 17:00:00,BUY,187.8702,0.25,bear_high_vol,,
133,2024-01-31 17:00:00,SELL,186.325,,bear_high_vol,-38630.00000000057,time_exit
134,2024-01-31 20:00:00,BUY,184.36,0.25,bear_high_vol,,
135,2024-02-01 13:00:00,SELL,185.3096,,none,23739.999999999385,signal
136,2024-02-02 13:00:00,BUY,180.19,0.25,bear_high_vol,,
137,2024-02-02 14:00:00,SELL,182.48,,bear_high_vol,57249.9999999998,signal
138,2024-02-12 11:00:00,BUY,188.48,0.25,bull_high_vol,,
139,2024-02-13 11:00:00,SELL,185.82,,none,-66499.99999999991,time_exit
140,2024-02-13 13:00:00,BUY,185.25,0.25,bear_high_vol,,
141,2024-02-14 10:00:00,SELL,185.54,,bear_high_vol,7249.999999999801,signal
142,2024-02-14 14:00:00,BUY,184.02,0.25,bear_high_vol,,
143,2024-02-15 14:00:00,SELL,182.08,,bear_high_vol,-48499.99999999994,time_exit
144,2024-02-15 15:00:00,BUY,182.035,0.25,bear_high_vol,,
145,2024-02-15 21:00:00,SELL,185.21,,bull_high_vol,79375.00000000029,signal
146,2024-02-16 14:00:00,BUY,182.3,0.25,bear_high_vol,,
147,2024-02-20 09:00:00,SELL,181.48,,none,-20500.00000000054,time_exit
148,2024-02-26 22:00:00,BUY,181.06,0.25,bear_high_vol,,
149,2024-02-27 19:00:00,SELL,182.945,,bull_high_vol,47124.999999999774,signal
150,2024-02-28 14:00:00,BUY,181.298,0.25,bull_high_vol,,
151,2024-02-29 00:00:00,SELL,181.22,,none,-1950.000000000074,signal
152,2024-03-01 14:00:00,BUY,179.245,0.25,bear_high_vol,,
153,2024-03-04 09:00:00,SELL,178.6,,none,-16125.000000000256,time_exit
154,2024-03-04 12:00:00,BUY,176.7,0.25,bear_high_vol,,
155,2024-03-05 09:00:00,SELL,172.48,,bear_high_vol,-105499.99999999997,stop_loss
156,2024-03-05 14:00:00,BUY,170.485,0.25,bear_high_vol,,
157,2024-03-06 09:00:00,SELL,170.99,,none,12624.999999999887,signal
158,2024-03-13 13:00:00,BUY,171.6653,0.25,bear_high_vol,,
159,2024-03-14 09:00:00,SELL,172.45,,none,19617.499999999665,signal
160,2024-03-15 13:00:00,BUY,171.45,0.25,bear_high_vol,,
161,2024-03-15 19:00:00,SELL,172.56,,bear_high_vol,27750.000000000342,signal
162,2024-03-21 14:00:00,BUY,172.5907,0.25,bear_high_vol,,
163,2024-03-22 10:00:00,SELL,171.45,,none,-28517.50000000024,signal
164,2024-03-26 19:00:00,BUY,169.815,0.25,bear_high_vol,,
165,2024-03-27 13:00:00,SELL,172.7152,,bull_high_vol,72505.0000000003,signal
166,2024-03-28 14:00:00,BUY,170.835,0.25,bull_high_vol,,
167,2024-03-28 17:00:00,SELL,171.48,,none,16124.999999999545,signal
168,2024-04-04 22:00:00,BUY,169.1,0.25,bear_high_vol,,
169,2024-04-05 11:00:00,SELL,169.7,,none,14999.999999999858,signal
