,timestamp,action,price,size,stop_loss,take_profit,regime,pnl,reason
56,2023-08-28 13:00:00,BUY,73.97,1827,71.917489567726,78.07502086454802,bull_high_vol,,
57,2023-08-29 10:00:00,SELL,74.02,1827,,,bull_high_vol,91.34999999999481,technical
58,2023-09-01 13:00:00,BUY,78.9053,2179,76.4053,83.9053,bear_high_vol,,
59,2023-09-05 08:00:00,SELL,77.5,2179,,,bear_high_vol,-3062.1486999999934,max_hold_time
60,2023-09-07 11:00:00,BUY,77.63,16667,76.63,79.63,bear_high_vol,,
61,2023-09-07 13:00:00,SELL,76.17,16667,,,bear_high_vol,-24333.819999999894,stop_or_target
62,2023-09-15 14:00:00,BUY,80.555,1772,78.055,85.555,bear_high_vol,,
63,2023-09-15 19:00:00,SELL,82.17,1772,,,bear_high_vol,2861.779999999991,technical
64,2023-09-19 13:00:00,BUY,78.795,1617,76.295,83.795,bear_high_vol,,
65,2023-09-19 19:00:00,SELL,78.15,1617,,,bear_high_vol,-1042.9649999999936,stop_or_target
66,2023-09-26 11:00:00,BUY,72.05,6146,71.05,74.05,bull_high_vol,,
67,2023-09-26 13:00:00,SELL,71.61,6146,,,bull_high_vol,-2704.239999999986,technical
68,2023-10-03 10:00:00,BUY,75.5,4925,74.5,77.5,bull_high_vol,,
69,2023-10-03 12:00:00,SELL,74.28,4925,,,bull_high_vol,-6008.4999999999945,stop_or_target
70,2023-10-06 12:00:00,BUY,72.38,2343,69.97943784717044,77.1811243056591,bear_high_vol,,
71,2023-10-06 13:00:00,SELL,73.65,2343,,,bear_high_vol,2975.610000000024,technical
72,2023-10-11 15:00:00,BUY,76.195,1573,73.695,81.195,bear_high_vol,,
73,2023-10-12 09:00:00,SELL,77.36,1573,,,bear_high_vol,1832.5450000000098,technical
74,2023-10-12 12:00:00,BUY,77.18,4488,75.92657917124586,79.6868416575083,bear_high_vol,,
75,2023-10-12 13:00:00,SELL,75.49,4488,,,bear_high_vol,-7584.720000000054,stop_or_target
76,2023-10-18 14:00:00,BUY,75.29,1593,72.93655506295275,79.9968898740945,bull_high_vol,,
77,2023-10-19 12:00:00,SELL,74.69,1593,,,bull_high_vol,-955.8000000000136,technical
78,2023-10-20 11:00:00,BUY,75.62,4320,74.57827644683987,77.70344710632028,bull_high_vol,,
79,2023-10-20 13:00:00,SELL,76.034,4320,,,bull_high_vol,1788.4800000000064,technical
80,2023-10-27 11:00:00,BUY,75.62,8133,74.62,77.62,bear_high_vol,,
81,2023-10-27 13:00:00,SELL,74.23,8133,,,bear_high_vol,-11304.870000000004,stop_or_target
82,2023-10-27 14:00:00,BUY,72.985,1798,70.485,77.985,bear_high_vol,,
83,2023-10-27 19:00:00,SELL,70.74,1798,,,bear_high_vol,-4036.5100000000084,stop_or_target
84,2023-11-08 14:00:00,BUY,86.56,1343,84.06,91.56,bull_high_vol,,
85,2023-11-08 18:00:00,SELL,86.87,1343,,,bull_high_vol,416.33000000000305,technical
86,2023-12-29 15:00:00,BUY,173.73,426,171.23,178.73,bear_high_vol,,
87,2023-12-29 21:00:00,SELL,172.7,426,,,bear_high_vol,-438.7800000000005,stop_or_target
88,2024-01-02 12:00:00,BUY,176.8,721,174.3,181.8,bear_high_vol,,
89,2024-01-02 14:00:00,SELL,164.8,721,,,bear_high_vol,-8652.0,stop_or_target
90,2024-01-02 15:00:00,BUY,164.575,342,162.075,169.575,bear_high_vol,,
91,2024-01-02 17:00:00,SELL,162.5579,342,,,bear_high_vol,-689.8481999999997,stop_or_target
92,2024-01-03 10:00:00,BUY,158.02,1152,155.52,163.02,bear_high_vol,,
93,2024-01-03 11:00:00,SELL,150.4,1152,,,bear_high_vol,-8778.240000000005,stop_or_target
94,2024-01-03 12:00:00,BUY,147.7,655,145.2,152.7,bear_high_vol,,
95,2024-01-03 15:00:00,SELL,153.8559,655,,,bear_high_vol,4032.1145000000015,stop_or_target
96,2024-01-08 14:00:00,BUY,148.2799,386,145.7799,153.2799,bear_high_vol,,
97,2024-01-08 17:00:00,SELL,155.712,386,,,bear_high_vol,2868.7905999999966,stop_or_target
98,2024-01-09 14:00:00,BUY,155.3539,492,152.8539,160.3539,bull_high_vol,,
99,2024-01-09 20:00:00,SELL,152.03,492,,,bull_high_vol,-1635.3588000000045,stop_or_target
100,2024-01-11 14:00:00,BUY,151.85,314,149.35,156.85,bull_high_vol,,
101,2024-01-11 15:00:00,SELL,146.3116,314,,,bull_high_vol,-1739.0575999999987,stop_or_target
102,2024-01-19 10:00:00,BUY,125.87,1469,123.37,130.87,bear_high_vol,,
103,2024-01-19 14:00:00,SELL,123.3597,1469,,,bear_high_vol,-3687.630700000001,stop_or_target
104,2024-01-19 15:00:00,BUY,121.83,791,119.33,126.83,bear_high_vol,,
105,2024-01-19 16:00:00,SELL,118.9,791,,,bear_high_vol,-2317.629999999994,stop_or_target
106,2024-01-23 14:00:00,BUY,122.1,762,119.6,127.1,bull_high_vol,,
107,2024-01-23 16:00:00,SELL,125.6799,762,,,bull_high_vol,2727.883800000007,technical
108,2024-02-02 14:00:00,BUY,126.6374,1425,124.1374,131.6374,bear_high_vol,,
109,2024-02-02 15:00:00,SELL,128.4,1425,,,bear_high_vol,2511.7050000000086,technical
110,2024-02-05 15:00:00,BUY,117.2899,592,114.7899,122.2899,bear_high_vol,,
111,2024-02-05 20:00:00,SELL,117.31,592,,,bear_high_vol,11.89919999999961,stop_or_target
112,2024-02-06 10:00:00,BUY,117.94,2466,116.11516125103269,121.58967749793463,bear_high_vol,,
113,2024-02-06 14:00:00,SELL,118.94,2466,,,bear_high_vol,2466.0,technical
114,2024-02-13 15:00:00,BUY,139.8,741,137.3,144.8,bear_high_vol,,
115,2024-02-13 16:00:00,SELL,141.0,741,,,bear_high_vol,889.1999999999916,technical
116,2024-03-14 13:00:00,BUY,238.295,316,235.795,243.295,bear_high_vol,,
117,2024-03-14 15:00:00,SELL,233.34,316,,,bear_high_vol,-1565.779999999995,stop_or_target
