DATE TIME,NFR
2016-04-05,47.0
2016-04-06,47.0
2016-04-07,51.0
2016-04-08,52.0
2016-04-09,48.0
2016-04-10,48.0
2016-04-11,44.0
2016-04-12,48.0
2016-04-13,43.0
2016-04-14,39.0
2016-04-15,35.0
2016-04-16,36.0
2016-04-17,44.0
2016-04-18,49.0
2016-04-19,51.0
2016-04-20,48.0
2016-04-21,48.0
2016-04-22,40.0
2016-04-23,35.0
2016-04-24,43.0
2016-04-25,37.0
2016-04-26,37.0
2016-04-27,42.0
2016-04-28,36.0
2016-04-29,42.0
2016-04-30,49.0
2016-05-01,46.0
2016-05-02,47.0
2016-05-03,51.0
2016-05-04,53.0
2016-05-05,47.0
2016-05-06,47.0
2016-05-07,46.0
2016-05-08,45.0
2016-05-09,53.0
2016-05-10,51.0
2016-05-11,53.0
2016-05-12,55.0
2016-05-13,56.0
2016-05-14,51.0
2016-05-15,48.0
2016-05-16,49.0
2016-05-17,51.0
2016-05-18,50.0
2016-05-19,53.0
2016-05-20,39.0
2016-05-21,38.0
2016-05-22,39.0
2016-05-23,42.0
2016-05-24,46.0
2016-05-25,47.0
2016-05-26,46.0
2016-05-27,51.0
2016-05-28,54.0
2016-05-29,55.0
2016-05-30,56.0
2016-05-31,58.0
2016-06-01,61.0
2016-06-02,59.0
2016-06-03,61.0
2016-06-04,63.0
2016-06-05,63.0
2016-06-06,62.0
2016-06-07,63.0
2016-06-08,62.0
2016-06-09,59.0
2016-06-10,57.0
2016-06-11,55.0
2016-06-12,58.0
2016-06-13,54.0
2016-06-14,52.0
2016-06-15,47.0
2016-06-16,44.0
2016-06-17,49.0
2016-06-18,53.0
2016-06-19,55.0
2016-06-20,64.0
2016-06-21,64.0
2016-06-22,63.0
2016-06-23,61.0
2016-06-24,57.0
2016-06-25,58.0
2016-06-26,63.0
2016-06-27,67.0
2016-06-28,68.0
2016-06-29,69.0
2016-06-30,65.0
2016-07-01,65.0
2016-07-02,65.0
2016-07-03,64.0
2016-07-04,64.0
2016-07-05,61.0
2016-07-06,59.0
2016-07-07,58.0
2016-07-08,60.0
2016-07-09,60.0
2016-07-10,58.0
2016-07-11,54.0
2016-07-12,57.0
2016-07-13,60.0
2016-07-14,63.0
2016-07-15,65.0
2016-07-16,65.0
2016-07-17,63.0
2016-07-18,60.0
2016-07-19,59.0
2016-07-20,60.0
2016-07-21,62.0
2016-07-22,63.0
2016-07-23,61.0
2016-07-24,64.0
2016-07-25,66.0
2016-07-26,67.0
2016-07-27,69.0
2016-07-28,71.0
2016-07-29,71.0
2016-07-30,71.0
2016-07-31,68.0
2016-08-01,67.0
2016-08-02,67.0
2016-08-03,65.0
2016-08-04,65.0
2016-08-05,62.0
2016-08-06,59.0
2016-08-07,60.0
2016-08-08,59.0
2016-08-09,59.0
2016-08-10,60.0
2016-08-11,61.0
2016-08-12,61.0
2016-08-13,65.0
2016-08-14,67.0
2016-08-15,66.0
2016-08-16,65.0
2016-08-17,64.0
2016-08-18,64.0
2016-08-19,64.0
2016-08-20,66.0
2016-08-21,64.0
2016-08-22,64.0
2016-08-23,63.0
2016-08-24,62.0
2016-08-25,61.0
2016-08-26,61.0
2016-08-27,59.0
2016-08-28,60.0
2016-08-29,61.0
2016-08-30,61.0
2016-08-31,60.0
2016-09-01,61.0
2016-09-02,59.0
2016-09-03,56.0
2016-09-04,47.0
2016-09-05,48.0
2016-09-06,55.0
2016-09-07,58.0
2016-09-08,60.0
2016-09-09,60.0
2016-09-10,62.0
2016-09-11,63.0
2016-09-12,52.0
2016-09-13,43.0
2016-09-14,45.0
2016-09-15,52.0
2016-09-16,55.0
2016-09-17,57.0
2016-09-18,61.0
2016-09-19,61.0
2016-09-20,61.0
2016-09-21,52.0
2016-09-22,41.0
2016-09-23,42.0
2016-09-24,48.0
2016-09-25,54.0
2016-09-26,58.0
2016-09-27,60.0
2016-09-28,60.0
2016-09-29,58.0
2016-09-30,56.0
2016-10-01,48.0
2016-10-02,43.0
2016-10-03,41.0
2016-10-04,42.0
2016-10-05,42.0
2016-10-06,43.0
2016-10-07,49.0
2016-10-08,52.0
2016-10-09,53.0
2016-10-10,54.0
2016-10-11,51.0
2016-10-12,50.0
2016-10-13,49.0
2016-10-14,50.0
2016-10-15,51.0
2016-10-16,54.0
2016-10-17,47.0
2016-10-18,45.0
2016-10-19,44.0
2016-10-20,48.0
2016-10-21,49.0
2016-10-22,49.0
2016-10-23,53.0
2016-10-24,47.0
2016-10-25,48.0
2016-10-26,48.0
2016-10-27,52.0
2016-10-28,49.0
2016-10-29,48.0
2016-10-30,45.0
2016-10-31,41.0
2016-11-01,44.0
2016-11-02,41.0
2016-11-03,42.0
2016-11-04,48.0
2016-11-05,47.0
2016-11-06,46.0
2016-11-07,47.0
2016-11-08,48.0
2016-11-09,52.0
2016-11-10,53.0
2016-11-11,52.0
2016-11-12,50.0
2016-11-13,47.0
2016-11-14,47.0
2016-11-15,45.0
2016-11-16,34.0
2016-11-17,32.0
2016-11-18,36.0
2016-11-19,44.0
2016-11-20,45.0
2016-11-21,37.0
2016-11-22,35.0
2016-11-23,36.0
2016-11-24,33.0
2016-11-25,37.0
2016-11-26,32.0
2016-11-27,33.0
2016-11-28,38.0
2016-11-29,35.0
2016-11-30,34.0
2016-12-01,34.0
2016-12-02,31.0
2016-12-03,31.0
2016-12-04,35.0
2016-12-05,34.0
2016-12-06,30.0
2016-12-07,28.0
2016-12-08,40.0
2016-12-09,45.0
2016-12-10,48.0
2016-12-11,46.0
2016-12-12,44.0
2016-12-13,44.0
2016-12-14,40.0
2016-12-15,46.0
2016-12-16,29.0
2016-12-17,26.0
2016-12-18,27.0
2016-12-19,29.0
2016-12-20,36.0
2016-12-21,37.0
2016-12-22,34.0
2016-12-23,36.0
2016-12-24,29.0
2016-12-25,25.0
2016-12-26,28.0
2016-12-27,33.0
2016-12-28,35.0
2016-12-29,41.0
2016-12-30,34.0
2016-12-31,33.0
2017-01-01,35.0
2017-01-02,31.0
2017-01-03,34.0
2017-01-04,42.0
2017-01-05,33.0
2017-01-06,29.0
2017-01-07,44.0
2017-01-08,50.0
2017-01-09,42.0
2017-01-10,42.0
2017-01-11,41.0
2017-01-12,33.0
2017-01-13,31.0
2017-01-14,32.0
2017-01-15,29.0
2017-01-16,31.0
2017-01-17,34.0
2017-01-18,38.0
2017-01-19,39.0
2017-01-20,32.0
2017-01-21,32.0
2017-01-22,32.0
2017-01-23,31.0
2017-01-24,27.0
2017-01-25,26.0
2017-01-26,30.0
2017-01-27,29.0
2017-01-28,33.0
2017-01-29,35.0
2017-01-30,37.0
2017-01-31,38.0
2017-02-01,40.0
2017-02-02,44.0
2017-02-03,
2017-02-04,39.0
2017-02-05,37.0
2017-02-06,43.0
2017-02-07,43.0
2017-02-08,48.0
2017-02-09,49.0
2017-02-10,41.0
2017-02-11,36.0
2017-02-12,36.0
2017-02-13,35.0
2017-02-14,39.0
2017-02-15,42.0
2017-02-16,44.0
2017-02-17,44.0
2017-02-18,42.0
2017-02-19,43.0
2017-02-20,45.0
2017-02-21,41.0
2017-02-22,30.0
2017-02-23,27.0
2017-02-24,26.0
2017-02-25,29.0
2017-02-26,28.0
2017-02-27,32.0
2017-02-28,30.0
2017-03-01,31.0
2017-03-02,35.0
2017-03-03,37.0
2017-03-04,37.0
2017-03-05,27.0
2017-03-06,25.0
2017-03-07,32.0
2017-03-08,35.0
2017-03-09,40.0
2017-03-10,44.0
2017-03-11,42.0
2017-03-12,46.0
2017-03-13,45.0
2017-03-14,49.0
2017-03-15,49.0
2017-03-16,49.0
2017-03-17,47.0
2017-03-18,49.0
2017-03-19,49.0
2017-03-20,51.0
2017-03-21,49.0
2017-03-22,39.0
2017-03-23,33.0
2017-03-24,41.0
2017-03-25,43.0
2017-03-26,40.0
2017-03-27,38.0
2017-03-28,37.0
2017-03-29,39.0
2017-03-30,36.0
2017-03-31,36.0
2017-04-01,38.0
2017-04-02,45.0
2017-04-03,47.0
2017-04-04,45.0
2017-04-05,48.0
2017-04-06,48.0
2017-04-07,44.0
2017-04-08,32.0
2017-04-09,31.0
2017-04-10,36.0
2017-04-11,44.0
2017-04-12,43.0
2017-04-13,38.0
2017-04-14,34.0
2017-04-15,38.0
2017-04-16,42.0
2017-04-17,49.0
2017-04-18,44.0
2017-04-19,42.0
2017-04-20,41.0
2017-04-21,43.0
2017-04-22,48.0
2017-04-23,45.0
2017-04-24,45.0
2017-04-25,41.0
2017-04-26,47.0
2017-04-27,45.0
2017-04-28,42.0
2017-04-29,41.0
2017-04-30,47.0
2017-05-01,52.0
2017-05-02,54.0
2017-05-03,57.0
2017-05-04,59.0
2017-05-05,52.0
2017-05-06,46.0
2017-05-07,42.0
2017-05-08,46.0
2017-05-09,48.0
2017-05-10,52.0
2017-05-11,49.0
