DATE TIME,KSP
2016-03-07,17.0
2016-03-08,17.0
2016-03-09,28.0
2016-03-10,30.0
2016-03-11,15.0
2016-03-12,16.0
2016-03-13,25.0
2016-03-14,21.0
2016-03-15,23.0
2016-03-16,32.0
2016-03-17,32.0
2016-03-18,31.0
2016-03-19,32.0
2016-03-20,32.0
2016-03-21,23.0
2016-03-22,14.0
2016-03-23,20.0
2016-03-24,29.0
2016-03-25,30.0
2016-03-26,31.0
2016-03-27,28.0
2016-03-28,12.0
2016-03-29,9.0
2016-03-30,15.0
2016-03-31,20.0
2016-04-01,31.0
2016-04-02,32.0
2016-04-03,31.0
2016-04-04,30.0
2016-04-05,33.0
2016-04-06,37.0
2016-04-07,35.0
2016-04-08,32.0
2016-04-09,30.0
2016-04-10,29.0
2016-04-11,28.0
2016-04-12,30.0
2016-04-13,30.0
2016-04-14,24.0
2016-04-15,20.0
2016-04-16,29.0
2016-04-17,37.0
2016-04-18,35.0
2016-04-19,34.0
2016-04-20,35.0
2016-04-21,34.0
2016-04-22,20.0
2016-04-23,16.0
2016-04-24,25.0
2016-04-25,20.0
2016-04-26,21.0
2016-04-27,26.0
2016-04-28,24.0
2016-04-29,27.0
2016-04-30,26.0
2016-05-01,28.0
2016-05-02,27.0
2016-05-03,33.0
2016-05-04,36.0
2016-05-05,26.0
2016-05-06,26.0
2016-05-07,30.0
2016-05-08,30.0
2016-05-09,32.0
2016-05-10,35.0
2016-05-11,36.0
2016-05-12,39.0
2016-05-13,41.0
2016-05-14,32.0
2016-05-15,31.0
2016-05-16,29.0
2016-05-17,33.0
2016-05-18,35.0
2016-05-19,36.0
2016-05-20,24.0
2016-05-21,23.0
2016-05-22,22.0
2016-05-23,25.0
2016-05-24,29.0
2016-05-25,30.0
2016-05-26,31.0
2016-05-27,33.0
2016-05-28,34.0
2016-05-29,37.0
2016-05-30,41.0
2016-05-31,47.0
2016-06-01,46.0
2016-06-02,46.0
2016-06-03,46.0
2016-06-04,51.0
2016-06-05,44.0
2016-06-06,45.0
2016-06-07,45.0
2016-06-08,46.0
2016-06-09,45.0
2016-06-10,44.0
2016-06-11,42.0
2016-06-12,34.0
2016-06-13,35.0
2016-06-14,37.0
2016-06-15,33.0
2016-06-16,30.0
2016-06-17,33.0
2016-06-18,39.0
2016-06-19,43.0
2016-06-20,53.0
2016-06-21,51.0
2016-06-22,51.0
2016-06-23,49.0
2016-06-24,47.0
2016-06-25,50.0
2016-06-26,51.0
2016-06-27,52.0
2016-06-28,52.0
2016-06-29,53.0
2016-06-30,51.0
2016-07-01,50.0
2016-07-02,49.0
2016-07-03,46.0
2016-07-04,46.0
2016-07-05,43.0
2016-07-06,45.0
2016-07-07,45.0
2016-07-08,43.0
2016-07-09,45.0
2016-07-10,41.0
2016-07-11,42.0
2016-07-12,43.0
2016-07-13,50.0
2016-07-14,51.0
2016-07-15,52.0
2016-07-16,47.0
2016-07-17,46.0
2016-07-18,45.0
2016-07-19,44.0
2016-07-20,49.0
2016-07-21,50.0
2016-07-22,50.0
2016-07-23,54.0
2016-07-24,54.0
2016-07-25,54.0
2016-07-26,55.0
2016-07-27,58.0
2016-07-28,59.0
2016-07-29,57.0
2016-07-30,56.0
2016-07-31,51.0
2016-08-01,53.0
2016-08-02,52.0
2016-08-03,51.0
2016-08-04,51.0
2016-08-05,45.0
2016-08-06,42.0
2016-08-07,42.0
2016-08-08,45.0
2016-08-09,42.0
2016-08-10,42.0
2016-08-11,46.0
2016-08-12,48.0
2016-08-13,51.0
2016-08-14,52.0
2016-08-15,48.0
2016-08-16,50.0
2016-08-17,49.0
2016-08-18,50.0
2016-08-19,49.0
2016-08-20,47.0
2016-08-21,50.0
2016-08-22,48.0
2016-08-23,47.0
2016-08-24,47.0
2016-08-25,46.0
2016-08-26,45.0
2016-08-27,46.0
2016-08-28,46.0
2016-08-29,49.0
2016-08-30,51.0
2016-08-31,50.0
2016-09-01,47.0
2016-09-02,44.0
2016-09-03,39.0
2016-09-04,36.0
2016-09-05,38.0
2016-09-06,40.0
2016-09-07,45.0
2016-09-08,46.0
2016-09-09,48.0
2016-09-10,49.0
2016-09-11,40.0
2016-09-12,39.0
2016-09-13,32.0
2016-09-14,32.0
2016-09-15,38.0
2016-09-16,40.0
2016-09-17,46.0
2016-09-18,48.0
2016-09-19,48.0
2016-09-20,45.0
2016-09-21,39.0
2016-09-22,27.0
2016-09-23,28.0
2016-09-24,40.0
2016-09-25,49.0
2016-09-26,46.0
2016-09-27,47.0
2016-09-28,44.0
2016-09-29,42.0
2016-09-30,40.0
2016-10-01,36.0
2016-10-02,23.0
2016-10-03,22.0
2016-10-04,32.0
2016-10-05,30.0
2016-10-06,30.0
2016-10-07,35.0
2016-10-08,40.0
2016-10-09,41.0
2016-10-10,39.0
2016-10-11,36.0
2016-10-12,37.0
2016-10-13,41.0
2016-10-14,38.0
2016-10-15,35.0
2016-10-16,38.0
2016-10-17,30.0
2016-10-18,29.0
2016-10-19,36.0
2016-10-20,42.0
2016-10-21,42.0
2016-10-22,40.0
2016-10-23,37.0
2016-10-24,33.0
2016-10-25,32.0
2016-10-26,40.0
2016-10-27,37.0
2016-10-28,32.0
2016-10-29,32.0
2016-10-30,28.0
2016-10-31,21.0
2016-11-01,27.0
2016-11-02,32.0
2016-11-03,37.0
2016-11-04,36.0
2016-11-05,35.0
2016-11-06,35.0
2016-11-07,39.0
2016-11-08,40.0
2016-11-09,39.0
2016-11-10,37.0
2016-11-11,36.0
2016-11-12,35.0
2016-11-13,35.0
2016-11-14,44.0
2016-11-15,34.0
2016-11-16,16.0
2016-11-17,17.0
2016-11-18,32.0
2016-11-19,33.0
2016-11-20,27.0
2016-11-21,20.0
2016-11-22,19.0
2016-11-23,23.0
2016-11-24,27.0
2016-11-25,29.0
2016-11-26,20.0
2016-11-27,17.0
2016-11-28,20.0
2016-11-29,19.0
2016-11-30,22.0
2016-12-01,14.0
2016-12-02,16.0
2016-12-03,30.0
2016-12-04,30.0
2016-12-05,27.0
2016-12-06,18.0
2016-12-07,21.0
2016-12-08,29.0
2016-12-09,29.0
2016-12-10,31.0
2016-12-11,25.0
2016-12-12,27.0
2016-12-13,28.0
2016-12-14,32.0
2016-12-15,30.0
2016-12-16,5.0
2016-12-17,6.0
2016-12-18,16.0
2016-12-19,26.0
2016-12-20,32.0
2016-12-21,27.0
2016-12-22,27.0
2016-12-23,18.0
2016-12-24,4.0
2016-12-25,2.0
2016-12-26,12.0
2016-12-27,25.0
2016-12-28,29.0
2016-12-29,31.0
2016-12-30,25.0
2016-12-31,22.0
2017-01-01,15.0
2017-01-02,12.0
2017-01-03,16.0
2017-01-04,25.0
2017-01-05,8.0
2017-01-06,10.0
2017-01-07,23.0
2017-01-08,31.0
2017-01-09,22.0
2017-01-10,21.0
2017-01-11,20.0
2017-01-12,13.0
2017-01-13,9.0
2017-01-14,19.0
2017-01-15,16.0
2017-01-16,22.0
2017-01-17,30.0
2017-01-18,23.0
2017-01-19,17.0
2017-01-20,15.0
2017-01-21,14.0
2017-01-22,19.0
2017-01-23,7.0
2017-01-24,3.0
2017-01-25,5.0
2017-01-26,11.0
2017-01-27,11.0
2017-01-28,26.0
2017-01-29,32.0
2017-01-30,33.0
2017-01-31,32.0
2017-02-01,29.0
2017-02-02,22.0
2017-02-03,
2017-02-04,20.0
2017-02-05,22.0
2017-02-06,25.0
2017-02-07,29.0
2017-02-08,32.0
2017-02-09,31.0
2017-02-10,26.0
2017-02-11,17.0
2017-02-12,22.0
2017-02-13,27.0
2017-02-14,29.0
2017-02-15,30.0
2017-02-16,24.0
2017-02-17,27.0
2017-02-18,22.0
2017-02-19,21.0
2017-02-20,24.0
2017-02-21,22.0
2017-02-22,4.0
2017-02-23,1.0
2017-02-24,3.0
2017-02-25,8.0
2017-02-26,10.0
2017-02-27,12.0
2017-02-28,9.0
2017-03-01,18.0
2017-03-02,23.0
2017-03-03,27.0
2017-03-04,21.0
2017-03-05,3.0
2017-03-06,0.0
2017-03-07,23.0
2017-03-08,28.0
2017-03-09,32.0
2017-03-10,32.0
2017-03-11,33.0
2017-03-12,35.0
2017-03-13,35.0
2017-03-14,37.0
2017-03-15,35.0
2017-03-16,33.0
2017-03-17,39.0
2017-03-18,36.0
2017-03-19,35.0
2017-03-20,33.0
2017-03-21,28.0
2017-03-22,17.0
2017-03-23,16.0
2017-03-24,28.0
2017-03-25,26.0
2017-03-26,24.0
2017-03-27,19.0
2017-03-28,24.0
2017-03-29,34.0
2017-03-30,16.0
2017-03-31,17.0
2017-04-01,30.0
2017-04-02,32.0
2017-04-03,29.0
2017-04-04,30.0
2017-04-05,32.0
2017-04-06,28.0
2017-04-07,26.0
2017-04-08,11.0
2017-04-09,12.0
2017-04-10,16.0
2017-04-11,31.0
2017-04-12,27.0
2017-04-13,22.0
2017-04-14,14.0
2017-04-15,28.0
2017-04-16,30.0
2017-04-17,32.0
2017-04-18,26.0
2017-04-19,21.0
2017-04-20,24.0
2017-04-21,34.0
2017-04-22,36.0
2017-04-23,31.0
2017-04-24,30.0
2017-04-25,26.0
2017-04-26,32.0
2017-04-27,31.0
2017-04-28,23.0
2017-04-29,25.0
2017-04-30,33.0
2017-05-01,38.0
2017-05-02,37.0
2017-05-03,42.0
2017-05-04,43.0
2017-05-05,37.0
2017-05-06,28.0
2017-05-07,27.0
2017-05-08,32.0
2017-05-09,34.0
2017-05-10,37.0
2017-05-11,36.0
2017-05-12,27.0
2017-05-13,17.0
2017-05-14,24.0
2017-05-15,26.0
2017-05-16,24.0
2017-05-17,27.0
2017-05-18,26.0
2017-05-19,33.0
2017-05-20,40.0
2017-05-21,39.0
2017-05-22,43.0
2017-05-23,43.0
2017-05-24,41.0
2017-05-25,35.0
2017-05-26,33.0
2017-05-27,37.0
2017-05-28,41.0
2017-05-29,41.0
2017-05-30,44.0
2017-05-31,35.0
2017-06-01,33.0
2017-06-02,40.0
2017-06-03,43.0
2017-06-04,42.0
2017-06-05,41.0
2017-06-06,44.0
2017-06-07,46.0
2017-06-08,39.0
2017-06-09,35.0
2017-06-10,32.0
2017-06-11,22.0
2017-06-12,18.0
2017-06-13,29.0
2017-06-14,39.0
2017-06-15,41.0
2017-06-16,47.0
2017-06-17,52.0
2017-06-18,49.0
2017-06-19,53.0
2017-06-20,52.0
2017-06-21,50.0
2017-06-22,52.0
2017-06-23,52.0
2017-06-24,51.0
2017-06-25,50.0
2017-06-26,46.0
2017-06-27,46.0
2017-06-28,46.0
2017-06-29,44.0
2017-06-30,48.0
2017-07-01,47.0
2017-07-02,48.0
2017-07-03,49.0
2017-07-04,49.0
2017-07-05,51.0
2017-07-06,52.0
2017-07-07,52.0
2017-07-08,56.0
2017-07-09,54.0
2017-07-10,52.0
2017-07-11,51.0
2017-07-12,51.0
2017-07-13,51.0
2017-07-14,51.0
