DATE TIME,FRT
2016-03-18,53.0
2016-03-19,55.0
2016-03-20,55.0
2016-03-21,52.0
2016-03-22,45.0
2016-03-23,42.0
2016-03-24,50.0
2016-03-25,50.0
2016-03-26,51.0
2016-03-27,53.0
2016-03-28,43.0
2016-03-29,42.0
2016-03-30,47.0
2016-03-31,52.0
2016-04-01,49.0
2016-04-02,56.0
2016-04-03,59.0
2016-04-04,53.0
2016-04-05,48.0
2016-04-06,57.0
2016-04-07,59.0
2016-04-08,56.0
2016-04-09,55.0
2016-04-10,55.0
2016-04-11,53.0
2016-04-12,52.0
2016-04-13,50.0
2016-04-14,52.0
2016-04-15,42.0
2016-04-16,53.0
2016-04-17,56.0
2016-04-18,62.0
2016-04-19,61.0
2016-04-20,60.0
2016-04-21,53.0
2016-04-22,50.0
2016-04-23,46.0
2016-04-24,50.0
2016-04-25,44.0
2016-04-26,49.0
2016-04-27,46.0
2016-04-28,46.0
2016-04-29,54.0
2016-04-30,49.0
2016-05-01,55.0
2016-05-02,61.0
2016-05-03,60.0
2016-05-04,61.0
2016-05-05,56.0
2016-05-06,53.0
2016-05-07,54.0
2016-05-08,49.0
2016-05-09,60.0
2016-05-10,55.0
2016-05-11,62.0
2016-05-12,63.0
2016-05-13,59.0
2016-05-14,52.0
2016-05-15,50.0
2016-05-16,54.0
2016-05-17,61.0
2016-05-18,66.0
2016-05-19,58.0
2016-05-20,52.0
2016-05-21,45.0
2016-05-22,46.0
2016-05-23,48.0
2016-05-24,53.0
2016-05-25,51.0
2016-05-26,52.0
2016-05-27,62.0
2016-05-28,64.0
2016-05-29,65.0
2016-05-30,64.0
2016-05-31,69.0
2016-06-01,72.0
2016-06-02,71.0
2016-06-03,73.0
2016-06-04,76.0
2016-06-05,69.0
2016-06-06,70.0
2016-06-07,68.0
2016-06-08,62.0
2016-06-09,58.0
2016-06-10,59.0
2016-06-11,60.0
2016-06-12,60.0
2016-06-13,61.0
2016-06-14,52.0
2016-06-15,50.0
2016-06-16,49.0
2016-06-17,55.0
2016-06-18,58.0
2016-06-19,60.0
2016-06-20,69.0
2016-06-21,71.0
2016-06-22,71.0
2016-06-23,61.0
2016-06-24,59.0
2016-06-25,66.0
2016-06-26,73.0
2016-06-27,75.0
2016-06-28,77.0
2016-06-29,74.0
2016-06-30,70.0
2016-07-01,75.0
2016-07-02,71.0
2016-07-03,69.0
2016-07-04,66.0
2016-07-05,66.0
2016-07-06,65.0
2016-07-07,63.0
2016-07-08,63.0
2016-07-09,63.0
2016-07-10,56.0
2016-07-11,62.0
2016-07-12,66.0
2016-07-13,66.0
2016-07-14,74.0
2016-07-15,74.0
2016-07-16,71.0
2016-07-17,67.0
2016-07-18,61.0
2016-07-19,62.0
2016-07-20,64.0
2016-07-21,68.0
2016-07-22,63.0
2016-07-23,70.0
2016-07-24,75.0
2016-07-25,75.0
2016-07-26,75.0
2016-07-27,78.0
2016-07-28,78.0
2016-07-29,80.0
2016-07-30,79.0
2016-07-31,73.0
2016-08-01,66.0
2016-08-02,68.0
2016-08-03,74.0
2016-08-04,70.0
2016-08-05,60.0
2016-08-06,63.0
2016-08-07,63.0
2016-08-08,69.0
2016-08-09,66.0
2016-08-10,68.0
2016-08-11,69.0
2016-08-12,71.0
2016-08-13,74.0
2016-08-14,77.0
2016-08-15,72.0
2016-08-16,73.0
2016-08-17,73.0
2016-08-18,76.0
2016-08-19,70.0
2016-08-20,71.0
2016-08-21,70.0
2016-08-22,66.0
2016-08-23,66.0
2016-08-24,70.0
2016-08-25,67.0
2016-08-26,61.0
2016-08-27,57.0
2016-08-28,61.0
2016-08-29,69.0
2016-08-30,65.0
2016-08-31,68.0
2016-09-01,63.0
2016-09-02,63.0
2016-09-03,59.0
2016-09-04,53.0
2016-09-05,57.0
2016-09-06,64.0
2016-09-07,69.0
2016-09-08,69.0
2016-09-09,64.0
2016-09-10,72.0
2016-09-11,70.0
2016-09-12,58.0
2016-09-13,51.0
2016-09-14,57.0
2016-09-15,59.0
2016-09-16,63.0
2016-09-17,67.0
2016-09-18,70.0
2016-09-19,73.0
2016-09-20,71.0
2016-09-21,60.0
2016-09-22,48.0
2016-09-23,54.0
2016-09-24,59.0
2016-09-25,64.0
2016-09-26,73.0
2016-09-27,72.0
2016-09-28,72.0
2016-09-29,71.0
2016-09-30,60.0
2016-10-01,52.0
2016-10-02,53.0
2016-10-03,51.0
2016-10-04,50.0
2016-10-05,52.0
2016-10-06,52.0
2016-10-07,57.0
2016-10-08,59.0
2016-10-09,66.0
2016-10-10,63.0
2016-10-11,56.0
2016-10-12,56.0
2016-10-13,60.0
2016-10-14,60.0
2016-10-15,60.0
2016-10-16,64.0
2016-10-17,54.0
2016-10-18,49.0
2016-10-19,49.0
2016-10-20,55.0
2016-10-21,57.0
2016-10-22,58.0
2016-10-23,62.0
2016-10-24,60.0
2016-10-25,59.0
2016-10-26,60.0
2016-10-27,63.0
2016-10-28,58.0
2016-10-29,59.0
2016-10-30,57.0
2016-10-31,54.0
2016-11-01,52.0
2016-11-02,48.0
2016-11-03,52.0
2016-11-04,53.0
2016-11-05,55.0
2016-11-06,52.0
2016-11-07,54.0
2016-11-08,55.0
2016-11-09,56.0
2016-11-10,59.0
2016-11-11,59.0
2016-11-12,58.0
2016-11-13,54.0
2016-11-14,54.0
2016-11-15,53.0
2016-11-16,44.0
2016-11-17,39.0
2016-11-18,45.0
2016-11-19,51.0
2016-11-20,53.0
2016-11-21,47.0
2016-11-22,44.0
2016-11-23,44.0
2016-11-24,40.0
2016-11-25,41.0
2016-11-26,44.0
2016-11-27,45.0
2016-11-28,44.0
2016-11-29,44.0
2016-11-30,43.0
2016-12-01,40.0
2016-12-02,42.0
2016-12-03,42.0
2016-12-04,41.0
2016-12-05,42.0
2016-12-06,41.0
2016-12-07,37.0
2016-12-08,45.0
2016-12-09,53.0
2016-12-10,55.0
2016-12-11,48.0
2016-12-12,46.0
2016-12-13,50.0
2016-12-14,50.0
2016-12-15,54.0
2016-12-16,38.0
2016-12-17,34.0
2016-12-18,35.0
2016-12-19,36.0
2016-12-20,38.0
2016-12-21,38.0
2016-12-22,40.0
2016-12-23,43.0
2016-12-24,35.0
2016-12-25,34.0
2016-12-26,35.0
2016-12-27,37.0
2016-12-28,43.0
2016-12-29,41.0
2016-12-30,42.0
2016-12-31,42.0
2017-01-01,41.0
2017-01-02,41.0
2017-01-03,44.0
2017-01-04,48.0
2017-01-05,34.0
2017-01-06,34.0
2017-01-07,46.0
2017-01-08,56.0
2017-01-09,51.0
2017-01-10,50.0
2017-01-11,48.0
2017-01-12,43.0
2017-01-13,32.0
2017-01-14,41.0
2017-01-15,42.0
2017-01-16,39.0
2017-01-17,38.0
2017-01-18,45.0
2017-01-19,48.0
2017-01-20,44.0
2017-01-21,43.0
2017-01-22,45.0
2017-01-23,39.0
2017-01-24,38.0
2017-01-25,38.0
2017-01-26,39.0
2017-01-27,41.0
2017-01-28,40.0
2017-01-29,39.0
2017-01-30,41.0
2017-01-31,42.0
2017-02-01,48.0
2017-02-02,52.0
2017-02-03,
2017-02-04,49.0
2017-02-05,48.0
2017-02-06,52.0
2017-02-07,53.0
2017-02-08,58.0
2017-02-09,55.0
2017-02-10,50.0
2017-02-11,43.0
2017-02-12,46.0
2017-02-13,46.0
2017-02-14,48.0
2017-02-15,48.0
2017-02-16,52.0
2017-02-17,50.0
2017-02-18,49.0
2017-02-19,44.0
2017-02-20,51.0
2017-02-21,50.0
2017-02-22,41.0
2017-02-23,34.0
2017-02-24,35.0
2017-02-25,39.0
2017-02-26,39.0
2017-02-27,39.0
2017-02-28,36.0
2017-03-01,41.0
2017-03-02,44.0
2017-03-03,44.0
2017-03-04,49.0
2017-03-05,41.0
2017-03-06,39.0
2017-03-07,40.0
2017-03-08,42.0
2017-03-09,48.0
2017-03-10,52.0
2017-03-11,53.0
2017-03-12,55.0
2017-03-13,55.0
2017-03-14,55.0
2017-03-15,58.0
2017-03-16,49.0
2017-03-17,55.0
2017-03-18,58.0
2017-03-19,54.0
2017-03-20,56.0
2017-03-21,55.0
2017-03-22,45.0
2017-03-23,42.0
2017-03-24,50.0
2017-03-25,50.0
2017-03-26,49.0
2017-03-27,48.0
2017-03-28,43.0
2017-03-29,50.0
2017-03-30,52.0
2017-03-31,39.0
2017-04-01,49.0
2017-04-02,53.0
2017-04-03,54.0
2017-04-04,52.0
2017-04-05,56.0
2017-04-06,57.0
2017-04-07,50.0
2017-04-08,42.0
2017-04-09,39.0
2017-04-10,43.0
2017-04-11,52.0
2017-04-12,54.0
2017-04-13,48.0
2017-04-14,39.0
2017-04-15,42.0
2017-04-16,53.0
2017-04-17,55.0
2017-04-18,53.0
2017-04-19,52.0
2017-04-20,50.0
2017-04-21,47.0
2017-04-22,56.0
2017-04-23,49.0
2017-04-24,48.0
2017-04-25,47.0
2017-04-26,50.0
2017-04-27,52.0
2017-04-28,48.0
2017-04-29,53.0
2017-04-30,57.0
2017-05-01,58.0
2017-05-02,65.0
2017-05-03,67.0
2017-05-04,71.0
2017-05-05,55.0
2017-05-06,49.0
