DATE TIME,BDM
2016-02-07,43.0
2016-02-08,52.0
2016-02-09,53.0
2016-02-10,51.0
2016-02-11,51.0
2016-02-12,49.0
2016-02-13,43.0
2016-02-14,42.0
2016-02-15,50.0
2016-02-16,52.0
2016-02-17,41.0
2016-02-18,32.0
2016-02-19,33.0
2016-02-20,39.0
2016-02-21,40.0
2016-02-22,35.0
2016-02-23,43.0
2016-02-24,45.0
2016-02-25,47.0
2016-02-26,47.0
2016-02-27,46.0
2016-02-28,45.0
2016-02-29,43.0
2016-03-01,47.0
2016-03-02,46.0
2016-03-03,45.0
2016-03-04,42.0
2016-03-05,42.0
2016-03-06,33.0
2016-03-07,31.0
2016-03-08,29.0
2016-03-09,35.0
2016-03-10,45.0
2016-03-11,31.0
2016-03-12,30.0
2016-03-13,36.0
2016-03-14,39.0
2016-03-15,34.0
2016-03-16,38.0
2016-03-17,47.0
2016-03-18,46.0
2016-03-19,47.0
2016-03-20,46.0
2016-03-21,36.0
2016-03-22,31.0
2016-03-23,32.0
2016-03-24,38.0
2016-03-25,41.0
2016-03-26,42.0
2016-03-27,42.0
2016-03-28,29.0
2016-03-29,27.0
2016-03-30,31.0
2016-03-31,34.0
2016-04-01,39.0
2016-04-02,45.0
2016-04-03,48.0
2016-04-04,48.0
2016-04-05,48.0
2016-04-06,57.0
2016-04-07,50.0
2016-04-08,47.0
2016-04-09,41.0
2016-04-10,41.0
2016-04-11,43.0
2016-04-12,43.0
2016-04-13,42.0
2016-04-14,39.0
2016-04-15,32.0
2016-04-16,43.0
2016-04-17,49.0
2016-04-18,52.0
2016-04-19,51.0
2016-04-20,50.0
2016-04-21,49.0
2016-04-22,32.0
2016-04-23,32.0
2016-04-24,39.0
2016-04-25,34.0
2016-04-26,34.0
2016-04-27,37.0
2016-04-28,35.0
2016-04-29,40.0
2016-04-30,44.0
2016-05-01,48.0
2016-05-02,46.0
2016-05-03,50.0
2016-05-04,51.0
2016-05-05,41.0
2016-05-06,41.0
2016-05-07,42.0
2016-05-08,41.0
2016-05-09,46.0
2016-05-10,48.0
2016-05-11,52.0
2016-05-12,57.0
2016-05-13,56.0
2016-05-14,47.0
2016-05-15,45.0
2016-05-16,48.0
2016-05-17,51.0
2016-05-18,55.0
2016-05-19,52.0
2016-05-20,35.0
2016-05-21,37.0
2016-05-22,37.0
2016-05-23,40.0
2016-05-24,42.0
2016-05-25,43.0
2016-05-26,42.0
2016-05-27,49.0
2016-05-28,54.0
2016-05-29,56.0
2016-05-30,56.0
2016-05-31,61.0
2016-06-01,64.0
2016-06-02,61.0
2016-06-03,64.0
2016-06-04,65.0
2016-06-05,62.0
2016-06-06,62.0
2016-06-07,64.0
2016-06-08,64.0
2016-06-09,61.0
2016-06-10,57.0
2016-06-11,56.0
2016-06-12,51.0
2016-06-13,52.0
2016-06-14,52.0
2016-06-15,46.0
2016-06-16,44.0
2016-06-17,49.0
2016-06-18,52.0
2016-06-19,55.0
2016-06-20,65.0
2016-06-21,68.0
2016-06-22,66.0
2016-06-23,64.0
2016-06-24,62.0
2016-06-25,62.0
2016-06-26,65.0
2016-06-27,66.0
2016-06-28,71.0
2016-06-29,71.0
2016-06-30,70.0
2016-07-01,69.0
2016-07-02,67.0
2016-07-03,66.0
2016-07-04,64.0
2016-07-05,61.0
2016-07-06,61.0
2016-07-07,60.0
2016-07-08,61.0
2016-07-09,61.0
2016-07-10,57.0
2016-07-11,53.0
2016-07-12,60.0
2016-07-13,62.0
2016-07-14,65.0
2016-07-15,66.0
2016-07-16,66.0
2016-07-17,64.0
2016-07-18,59.0
2016-07-19,60.0
2016-07-20,59.0
2016-07-21,64.0
2016-07-22,66.0
2016-07-23,64.0
2016-07-24,66.0
