DATE TIME,GRM
2016-10-08,47.0
2016-10-09,48.0
2016-10-10,45.0
2016-10-11,43.0
2016-10-12,43.0
2016-10-13,44.0
2016-10-14,38.0
2016-10-15,38.0
2016-10-16,38.0
2016-10-17,33.0
2016-10-18,32.0
2016-10-19,40.0
2016-10-20,44.0
2016-10-21,46.0
2016-10-22,42.0
2016-10-23,42.0
2016-10-24,37.0
2016-10-25,37.0
2016-10-26,42.0
2016-10-27,41.0
2016-10-28,39.0
2016-10-29,35.0
2016-10-30,33.0
2016-10-31,28.0
2016-11-01,31.0
2016-11-02,34.0
2016-11-03,42.0
2016-11-04,41.0
2016-11-05,41.0
2016-11-06,39.0
2016-11-07,42.0
2016-11-08,47.0
2016-11-09,46.0
2016-11-10,44.0
2016-11-11,43.0
2016-11-12,42.0
2016-11-13,41.0
2016-11-14,47.0
2016-11-15,39.0
2016-11-16,22.0
2016-11-17,21.0
2016-11-18,33.0
2016-11-19,38.0
2016-11-20,30.0
2016-11-21,26.0
2016-11-22,26.0
2016-11-23,27.0
2016-11-24,31.0
2016-11-25,30.0
2016-11-26,24.0
2016-11-27,22.0
2016-11-28,20.0
2016-11-29,20.0
2016-11-30,24.0
2016-12-01,20.0
2016-12-02,18.0
2016-12-03,34.0
2016-12-04,32.0
2016-12-05,30.0
2016-12-06,22.0
2016-12-07,25.0
2016-12-08,31.0
2016-12-09,32.0
2016-12-10,32.0
2016-12-11,32.0
2016-12-12,32.0
2016-12-13,32.0
2016-12-14,34.0
2016-12-15,32.0
2016-12-16,11.0
2016-12-17,10.0
2016-12-18,20.0
2016-12-19,28.0
2016-12-20,38.0
2016-12-21,33.0
2016-12-22,32.0
2016-12-23,24.0
2016-12-24,14.0
2016-12-25,9.0
2016-12-26,17.0
2016-12-27,31.0
2016-12-28,35.0
2016-12-29,38.0
2016-12-30,28.0
2016-12-31,27.0
2017-01-01,19.0
2017-01-02,16.0
2017-01-03,20.0
2017-01-04,28.0
2017-01-05,17.0
2017-01-06,15.0
2017-01-07,27.0
2017-01-08,32.0
2017-01-09,27.0
2017-01-10,27.0
2017-01-11,26.0
2017-01-12,18.0
2017-01-13,16.0
2017-01-14,22.0
2017-01-15,22.0
2017-01-16,21.0
2017-01-17,27.0
2017-01-18,26.0
2017-01-19,24.0
2017-01-20,21.0
2017-01-21,21.0
2017-01-22,23.0
2017-01-23,12.0
2017-01-24,10.0
2017-01-25,9.0
2017-01-26,14.0
2017-01-27,12.0
2017-01-28,28.0
2017-01-29,35.0
2017-01-30,38.0
2017-01-31,35.0
2017-02-01,32.0
2017-02-02,27.0
2017-02-03,
2017-02-04,25.0
2017-02-05,27.0
2017-02-06,29.0
2017-02-07,31.0
2017-02-08,34.0
2017-02-09,33.0
2017-02-10,29.0
2017-02-11,23.0
2017-02-12,24.0
2017-02-13,31.0
2017-02-14,32.0
2017-02-15,34.0
2017-02-16,28.0
2017-02-17,28.0
2017-02-18,29.0
2017-02-19,30.0
2017-02-20,30.0
2017-02-21,27.0
2017-02-22,9.0
2017-02-23,8.0
2017-02-24,9.0
2017-02-25,13.0
2017-02-26,15.0
2017-02-27,14.0
2017-02-28,13.0
2017-03-01,21.0
2017-03-02,27.0
2017-03-03,28.0
2017-03-04,23.0
2017-03-05,11.0
2017-03-06,8.0
2017-03-07,23.0
2017-03-08,33.0
2017-03-09,39.0
2017-03-10,39.0
2017-03-11,38.0
2017-03-12,38.0
2017-03-13,37.0
2017-03-14,42.0
2017-03-15,36.0
2017-03-16,36.0
2017-03-17,43.0
2017-03-18,37.0
2017-03-19,37.0
2017-03-20,36.0
2017-03-21,32.0
2017-03-22,26.0
2017-03-23,19.0
2017-03-24,30.0
2017-03-25,29.0
2017-03-26,27.0
2017-03-27,27.0
2017-03-28,27.0
2017-03-29,38.0
2017-03-30,24.0
2017-03-31,23.0
2017-04-01,31.0
2017-04-02,37.0
2017-04-03,32.0
2017-04-04,33.0
2017-04-05,35.0
2017-04-06,32.0
2017-04-07,30.0
2017-04-08,16.0
2017-04-09,16.0
2017-04-10,25.0
2017-04-11,33.0
2017-04-12,32.0
2017-04-13,23.0
2017-04-14,21.0
2017-04-15,33.0
2017-04-16,33.0
2017-04-17,32.0
2017-04-18,32.0
2017-04-19,27.0
2017-04-20,28.0
2017-04-21,37.0
2017-04-22,40.0
2017-04-23,34.0
2017-04-24,32.0
2017-04-25,29.0
2017-04-26,35.0
2017-04-27,33.0
2017-04-28,31.0
2017-04-29,28.0
2017-04-30,37.0
2017-05-01,41.0
2017-05-02,44.0
2017-05-03,45.0
2017-05-04,48.0
2017-05-05,40.0
2017-05-06,32.0
2017-05-07,33.0
2017-05-08,40.0
2017-05-09,40.0
2017-05-10,42.0
2017-05-11,39.0
2017-05-12,31.0
2017-05-13,26.0
2017-05-14,28.0
2017-05-15,30.0
2017-05-16,27.0
2017-05-17,32.0
2017-05-18,32.0
2017-05-19,36.0
2017-05-20,43.0
2017-05-21,46.0
2017-05-22,49.0
2017-05-23,50.0
2017-05-24,46.0
2017-05-25,40.0
2017-05-26,39.0
2017-05-27,42.0
2017-05-28,46.0
2017-05-29,47.0
2017-05-30,49.0
2017-05-31,40.0
2017-06-01,39.0
2017-06-02,47.0
2017-06-03,51.0
2017-06-04,49.0
2017-06-05,49.0
2017-06-06,50.0
2017-06-07,48.0
2017-06-08,44.0
2017-06-09,41.0
2017-06-10,35.0
2017-06-11,26.0
2017-06-12,24.0
2017-06-13,34.0
2017-06-14,46.0
2017-06-15,48.0
2017-06-16,54.0
2017-06-17,57.0
2017-06-18,61.0
2017-06-19,62.0
2017-06-20,62.0
2017-06-21,60.0
2017-06-22,63.0
2017-06-23,60.0
2017-06-24,62.0
2017-06-25,59.0
2017-06-26,55.0
2017-06-27,52.0
2017-06-28,50.0
2017-06-29,52.0
2017-06-30,57.0
2017-07-01,55.0
2017-07-02,56.0
2017-07-03,55.0
2017-07-04,54.0
2017-07-05,58.0
2017-07-06,60.0
2017-07-07,60.0
2017-07-08,63.0
2017-07-09,61.0
2017-07-10,60.0
2017-07-11,57.0
2017-07-12,57.0
2017-07-13,57.0
2017-07-14,58.0
2017-07-15,60.0
2017-07-16,60.0
2017-07-17,58.0
2017-07-18,56.0
2017-07-19,56.0
2017-07-20,54.0
2017-07-21,54.0
2017-07-22,59.0
2017-07-23,60.0
2017-07-24,57.0
2017-07-25,56.0
2017-07-26,55.0
2017-07-27,57.0
2017-07-28,57.0
2017-07-29,56.0
2017-07-30,58.0
2017-07-31,61.0
2017-08-01,64.0
2017-08-02,61.0
2017-08-03,59.0
2017-08-04,53.0
2017-08-05,53.0
2017-08-06,53.0
2017-08-07,51.0
2017-08-08,53.0
2017-08-09,54.0
2017-08-10,52.0
2017-08-11,53.0
2017-08-12,54.0
2017-08-13,52.0
2017-08-14,50.0
2017-08-15,47.0
2017-08-16,52.0
2017-08-17,56.0
2017-08-18,59.0
2017-08-19,58.0
2017-08-20,55.0
2017-08-21,55.0
2017-08-22,54.0
2017-08-23,54.0
2017-08-24,54.0
2017-08-25,55.0
2017-08-26,58.0
2017-08-27,60.0
2017-08-28,62.0
2017-08-29,64.0
2017-08-30,59.0
2017-08-31,58.0
2017-09-01,59.0
2017-09-02,62.0
2017-09-03,60.0
2017-09-04,61.0
2017-09-05,57.0
2017-09-06,54.0
2017-09-07,50.0
2017-09-08,50.0
2017-09-09,48.0
2017-09-10,49.0
2017-09-11,50.0
2017-09-12,53.0
2017-09-13,49.0
2017-09-14,43.0
2017-09-15,42.0
2017-09-16,45.0
2017-09-17,45.0
2017-09-18,41.0
2017-09-19,39.0
2017-09-20,42.0
2017-09-21,27.0
2017-09-22,26.0
2017-09-23,29.0
2017-09-24,32.0
2017-09-25,37.0
2017-09-26,40.0
2017-09-27,41.0
2017-09-28,45.0
2017-09-29,46.0
2017-09-30,44.0
2017-10-01,40.0
2017-10-02,34.0
2017-10-03,31.0
2017-10-04,30.0
2017-10-05,39.0
2017-10-06,43.0
2017-10-07,49.0
2017-10-08,36.0
2017-10-09,33.0
2017-10-10,41.0
2017-10-11,39.0
2017-10-12,35.0
2017-10-13,40.0
2017-10-14,43.0
2017-10-15,50.0
2017-10-16,50.0
2017-10-17,50.0
2017-10-18,46.0
2017-10-19,40.0
2017-10-20,30.0
2017-10-21,30.0
2017-10-22,45.0
2017-10-23,55.0
2017-10-24,54.0
2017-10-25,52.0
2017-10-26,51.0
2017-10-27,51.0
2017-10-28,51.0
2017-10-29,50.0
2017-10-30,40.0
2017-10-31,39.0
2017-11-01,38.0
2017-11-02,32.0
2017-11-03,30.0
2017-11-04,31.0
2017-11-05,30.0
2017-11-06,28.0
2017-11-07,34.0
2017-11-08,36.0
2017-11-09,34.0
2017-11-10,30.0
2017-11-11,32.0
2017-11-12,36.0
2017-11-13,36.0
2017-11-14,34.0
2017-11-15,37.0
2017-11-16,34.0
2017-11-17,33.0
2017-11-18,34.0
2017-11-19,39.0
2017-11-20,40.0
2017-11-21,47.0
2017-11-22,49.0
2017-11-23,45.0
2017-11-24,43.0
2017-11-25,46.0
2017-11-26,34.0
2017-11-27,27.0
2017-11-28,30.0
2017-11-29,36.0
2017-11-30,37.0
2017-12-01,38.0
2017-12-02,35.0
2017-12-03,23.0
2017-12-04,19.0
2017-12-05,21.0
2017-12-06,37.0
2017-12-07,38.0
2017-12-08,38.0
2017-12-09,38.0
2017-12-10,37.0
2017-12-11,40.0
2017-12-12,44.0
2017-12-13,44.0
2017-12-14,43.0
2017-12-15,39.0
2017-12-16,22.0
2017-12-17,23.0
2017-12-18,37.0
2017-12-19,34.0
2017-12-20,12.0
2017-12-21,12.0
2017-12-22,30.0
2017-12-23,36.0
2017-12-24,39.0
2017-12-25,37.0
2017-12-26,38.0
2017-12-27,40.0
2017-12-28,42.0
2017-12-29,45.0
2017-12-30,43.0
2017-12-31,40.0
2018-01-01,40.0
2018-01-02,40.0
2018-01-03,42.0
2018-01-04,32.0
2018-01-05,34.0
2018-01-06,28.0
2018-01-07,30.0
2018-01-08,32.0
2018-01-09,28.0
2018-01-10,28.0
2018-01-11,32.0
2018-01-12,35.0
2018-01-13,40.0
2018-01-14,41.0
2018-01-15,39.0
2018-01-16,36.0
2018-01-17,39.0
2018-01-18,35.0
2018-01-19,20.0
2018-01-20,15.0
2018-01-21,17.0
2018-01-22,23.0
2018-01-23,29.0
2018-01-24,28.0
2018-01-25,16.0
2018-01-26,16.0
2018-01-27,27.0
2018-01-28,40.0
2018-01-29,43.0
2018-01-30,42.0
2018-01-31,40.0
2018-02-01,44.0
2018-02-02,42.0
2018-02-03,41.0
2018-02-04,42.0
2018-02-05,40.0
2018-02-06,38.0
2018-02-07,39.0
2018-02-08,42.0
2018-02-09,39.0
2018-02-10,32.0
2018-02-11,26.0
2018-02-12,19.0
2018-02-13,20.0
2018-02-14,22.0
2018-02-15,21.0
2018-02-16,31.0
2018-02-17,33.0
2018-02-18,15.0
2018-02-19,7.0
2018-02-20,5.0
2018-02-21,10.0
2018-02-22,11.0
2018-02-23,9.0
2018-02-24,16.0
2018-02-25,17.0
2018-02-26,18.0
2018-02-27,14.0
2018-02-28,20.0
2018-03-01,21.0
2018-03-02,22.0
2018-03-03,13.0
2018-03-04,9.0
2018-03-05,14.0
2018-03-06,27.0
2018-03-07,33.0
2018-03-08,30.0
2018-03-09,30.0
2018-03-10,31.0
2018-03-11,30.0
2018-03-12,34.0
2018-03-13,32.0
2018-03-14,22.0
2018-03-15,17.0
2018-03-16,18.0
2018-03-17,14.0
2018-03-18,12.0
2018-03-19,20.0
2018-03-20,30.0
2018-03-21,32.0
2018-03-22,30.0
2018-03-23,23.0
2018-03-24,19.0
2018-03-25,16.0
2018-03-26,15.0
2018-03-27,25.0
2018-03-28,36.0
2018-03-29,37.0
2018-03-30,40.0
2018-03-31,40.0
2018-04-01,38.0
2018-04-02,36.0
2018-04-03,35.0
2018-04-04,38.0
2018-04-05,36.0
2018-04-06,34.0
2018-04-07,30.0
2018-04-08,29.0
2018-04-09,42.0
2018-04-10,41.0
2018-04-11,27.0
2018-04-12,17.0
2018-04-13,23.0
2018-04-14,37.0
2018-04-15,30.0
2018-04-16,17.0
2018-04-17,14.0
2018-04-18,27.0
2018-04-19,23.0
2018-04-20,32.0
2018-04-21,39.0
2018-04-22,43.0
2018-04-23,41.0
2018-04-24,43.0
2018-04-25,46.0
2018-04-26,46.0
2018-04-27,33.0
2018-04-28,29.0
2018-04-29,30.0
2018-04-30,27.0
2018-05-01,28.0
2018-05-02,30.0
2018-05-03,35.0
2018-05-04,40.0
2018-05-05,45.0
2018-05-06,46.0
2018-05-07,45.0
2018-05-08,51.0
2018-05-09,45.0
2018-05-10,43.0
2018-05-11,30.0
2018-05-12,30.0
2018-05-13,34.0
2018-05-14,37.0
2018-05-15,37.0
2018-05-16,34.0
2018-05-17,33.0
2018-05-18,38.0
2018-05-19,41.0
2018-05-20,40.0
2018-05-21,40.0
2018-05-22,40.0
2018-05-23,41.0
2018-05-24,43.0
2018-05-25,36.0
2018-05-26,33.0
2018-05-27,36.0
2018-05-28,44.0
2018-05-29,49.0
2018-05-30,45.0
2018-05-31,39.0
2018-06-01,39.0
2018-06-02,50.0
2018-06-03,53.0
2018-06-04,53.0
2018-06-05,50.0
2018-06-06,45.0
2018-06-07,43.0
2018-06-08,48.0
2018-06-09,40.0
2018-06-10,40.0
2018-06-11,49.0
2018-06-12,55.0
2018-06-13,56.0
2018-06-14,53.0
2018-06-15,48.0
2018-06-16,43.0
2018-06-17,39.0
2018-06-18,38.0
2018-06-19,46.0
2018-06-20,54.0
2018-06-21,57.0
2018-06-22,55.0
2018-06-23,54.0
2018-06-24,58.0
2018-06-25,59.0
2018-06-26,57.0
