date,open,high,low,close,volume,average,barCount,localSymbol,expiry
2023-11-22,4547.75,4580.5,4543.0,4567.25,1403636.0,0.0,0.0,ES=F,
2023-11-23,4564.0,4572.75,4562.0,4569.5,1403636.0,0.0,0.0,ES=F,
2023-11-24,4564.0,4574.0,4562.0,4568.25,572702.0,0.0,0.0,ES=F,
2023-11-27,4568.5,4570.0,4552.0,4561.0,1124213.0,0.0,0.0,ES=F,
2023-11-28,4561.5,4577.25,4547.0,4563.0,1441119.0,0.0,0.0,ES=F,
2023-11-29,4564.0,4597.0,4555.5,4559.25,1592398.0,0.0,0.0,ES=F,
2023-11-30,4562.25,4579.5,4544.75,4576.75,2056268.0,0.0,0.0,ES=F,
2023-12-01,4571.75,4607.75,4562.5,4600.75,1914151.0,0.0,0.0,ES=F,
2023-12-04,4603.25,4604.5,4553.5,4576.5,1818991.0,0.0,0.0,ES=F,
2023-12-05,4573.0,4585.5,4555.5,4575.0,1890825.0,0.0,0.0,ES=F,
2023-12-06,4573.25,4598.5,4552.0,4556.0,1837961.0,0.0,0.0,ES=F,
2023-12-07,4556.0,4596.0,4548.75,4589.5,1832361.0,0.0,0.0,ES=F,
2023-12-08,4586.5,4613.75,4561.75,4607.5,2289425.0,0.0,0.0,ES=F,
2023-12-11,4607.75,4627.25,4599.5,4626.0,1663229.0,0.0,0.0,ES=F,
2023-12-12,4625.0,4649.75,4610.5,4645.75,1052077.0,0.0,0.0,ES=F,
2023-12-13,4649.0,4711.75,4645.0,4708.25,739684.0,0.0,0.0,ES=F,
2023-12-14,4708.0,4739.25,4694.25,4721.75,560819.0,0.0,0.0,ES=F,
2023-12-15,4716.0,4736.5,4694.27001953125,4694.27001953125,1801823.0,0.0,0.0,ES=F,
2023-12-18,4770.5,4802.25,4769.5,4793.0,1139029.0,0.0,0.0,ES=F,
2023-12-19,4790.5,4821.5,4787.75,4820.25,1122973.0,0.0,0.0,ES=F,
2023-12-20,4818.5,4830.75,4743.25,4749.75,1749145.0,0.0,0.0,ES=F,
2023-12-21,4751.0,4798.25,4751.0,4796.75,1687065.0,0.0,0.0,ES=F,
2023-12-22,4795.75,4821.75,4784.75,4805.25,1326697.0,0.0,0.0,ES=F,
2023-12-26,4800.25,4834.5,4800.25,4825.0,688201.0,0.0,0.0,ES=F,
2023-12-27,4827.75,4836.5,4816.5,4833.5,1042284.0,0.0,0.0,ES=F,
2023-12-28,4834.5,4841.5,4828.0,4832.25,927035.0,0.0,0.0,ES=F,
2023-12-29,4834.75,4841.0,4796.75,4820.0,1281733.0,0.0,0.0,ES=F,
2024-01-02,4818.0,4828.0,4765.5,4787.25,1678142.0,0.0,0.0,ES=F,
2024-01-03,4790.75,4790.75,4741.0,4746.5,1707174.0,0.0,0.0,ES=F,
2024-01-04,4750.0,4766.5,4727.0,4729.5,1395366.0,0.0,0.0,ES=F,
2024-01-05,4732.75,4760.25,4702.0,4734.75,1767245.0,0.0,0.0,ES=F,
2024-01-08,4735.75,4803.25,4715.25,4801.25,1417728.0,0.0,0.0,ES=F,
2024-01-09,4797.75,4804.0,4767.5,4792.75,1369103.0,0.0,0.0,ES=F,
2024-01-10,4790.75,4828.5,4786.0,4820.25,1377780.0,0.0,0.0,ES=F,
2024-01-11,4820.5,4838.0,4772.75,4815.5,1795564.0,0.0,0.0,ES=F,
2024-01-12,4811.25,4836.5,4791.5,4816.5,1519899.0,0.0,0.0,ES=F,
2024-01-16,4812.0,4823.0,4779.5,4798.5,1905532.0,0.0,0.0,ES=F,
2024-01-17,4799.75,4800.75,4746.25,4771.25,1663328.0,0.0,0.0,ES=F,
2024-01-18,4768.0,4817.0,4763.5,4811.25,1746936.0,0.0,0.0,ES=F,
2024-01-19,4811.25,4874.25,4808.5,4869.5,1876757.0,0.0,0.0,ES=F,
2024-01-22,4872.5,4898.25,4872.5,4881.0,1356050.0,0.0,0.0,ES=F,
2024-01-23,4881.75,4902.0,4874.25,4895.0,1130749.0,0.0,0.0,ES=F,
2024-01-24,4900.25,4933.25,4889.0,4898.0,1586824.0,0.0,0.0,ES=F,
2024-01-25,4899.5,4926.5,4893.25,4923.25,1532026.0,0.0,0.0,ES=F,
2024-01-26,4919.25,4934.25,4898.5,4916.25,1363612.0,0.0,0.0,ES=F,
2024-01-29,4908.75,4956.0,4901.75,4954.5,1197989.0,0.0,0.0,ES=F,
2024-01-30,4950.25,4957.25,4933.0,4951.0,1157425.0,0.0,0.0,ES=F,
2024-01-31,4930.25,4938.0,4866.0,4870.5,2285993.0,0.0,0.0,ES=F,
2024-02-01,4874.5,4963.75,4872.5,4928.5,1835510.0,0.0,0.0,ES=F,
2024-02-02,4952.75,4997.75,4925.75,4980.25,1957796.0,0.0,0.0,ES=F,
2024-02-05,4976.0,4980.75,4937.75,4962.0,1504676.0,0.0,0.0,ES=F,
2024-02-06,4959.5,4978.25,4954.5,4974.75,1267419.0,0.0,0.0,ES=F,
2024-02-07,4971.5,5020.0,4970.0,5015.25,1336172.0,0.0,0.0,ES=F,
2024-02-08,5015.75,5020.0,5003.75,5017.75,997431.0,0.0,0.0,ES=F,
2024-02-09,5014.5,5048.5,5013.0,5044.0,1212336.0,0.0,0.0,ES=F,
2024-02-12,5042.5,5066.5,5031.5,5041.25,1141487.0,0.0,0.0,ES=F,
2024-02-13,5034.0,5040.0,4936.5,4971.25,2112726.0,0.0,0.0,ES=F,
2024-02-14,4974.25,5022.5,4968.75,5018.0,1632071.0,0.0,0.0,ES=F,
2024-02-15,5017.5,5051.75,5011.0,5046.5,1361757.0,0.0,0.0,ES=F,
2024-02-16,5049.5,5059.25,5012.75,5019.75,1527729.0,0.0,0.0,ES=F,
2024-02-20,5016.5,5029.5,4968.25,4991.5,1609827.0,0.0,0.0,ES=F,
2024-02-21,4990.0,5020.5,4959.0,4996.25,1485687.0,0.0,0.0,ES=F,
2024-02-22,5016.0,5107.75,5015.25,5097.75,1738869.0,0.0,0.0,ES=F,
2024-02-23,5094.25,5123.5,5092.0,5101.5,1340050.0,0.0,0.0,ES=F,
2024-02-26,5095.0,5108.0,5076.25,5080.25,1094682.0,0.0,0.0,ES=F,
2024-02-27,5077.5,5093.0,5067.0,5090.0,1026819.0,0.0,0.0,ES=F,
2024-02-28,5090.75,5091.25,5063.25,5081.0,1201011.0,0.0,0.0,ES=F,
2024-02-29,5072.0,5114.5,5060.0,5103.75,1790702.0,0.0,0.0,ES=F,
2024-03-01,5101.5,5149.25,5089.25,5146.0,1597331.0,0.0,0.0,ES=F,
2024-03-04,5142.0,5157.75,5132.0,5138.25,1208040.0,0.0,0.0,ES=F,
2024-03-05,5133.75,5135.5,5063.0,5085.75,1885769.0,0.0,0.0,ES=F,
2024-03-06,5091.0,5134.5,5083.75,5111.75,1996223.0,0.0,0.0,ES=F,
