DATE TIME,AGP
2016-11-07,42.0
2016-11-08,44.0
2016-11-09,43.0
2016-11-10,42.0
2016-11-11,41.0
2016-11-12,40.0
2016-11-13,40.0
2016-11-14,44.0
2016-11-15,45.0
2016-11-16,26.0
2016-11-17,24.0
2016-11-18,36.0
2016-11-19,35.0
2016-11-20,32.0
2016-11-21,26.0
2016-11-22,29.0
2016-11-23,26.0
2016-11-24,29.0
2016-11-25,33.0
2016-11-26,24.0
2016-11-27,21.0
2016-11-28,26.0
2016-11-29,26.0
2016-11-30,23.0
2016-12-01,18.0
2016-12-02,17.0
2016-12-03,34.0
2016-12-04,34.0
2016-12-05,30.0
2016-12-06,24.0
2016-12-07,23.0
2016-12-08,34.0
2016-12-09,33.0
2016-12-10,34.0
2016-12-11,29.0
2016-12-12,27.0
2016-12-13,33.0
2016-12-14,39.0
2016-12-15,32.0
2016-12-16,16.0
2016-12-17,15.0
2016-12-18,16.0
2016-12-19,29.0
2016-12-20,32.0
2016-12-21,31.0
2016-12-22,28.0
2016-12-23,24.0
2016-12-24,10.0
2016-12-25,12.0
2016-12-26,21.0
2016-12-27,30.0
2016-12-28,33.0
2016-12-29,35.0
2016-12-30,30.0
2016-12-31,23.0
2017-01-01,24.0
2017-01-02,15.0
2017-01-03,21.0
2017-01-04,27.0
2017-01-05,22.0
2017-01-06,19.0
2017-01-07,28.0
2017-01-08,32.0
2017-01-09,25.0
2017-01-10,24.0
2017-01-11,21.0
2017-01-12,18.0
2017-01-13,18.0
2017-01-14,23.0
2017-01-15,24.0
2017-01-16,25.0
2017-01-17,30.0
2017-01-18,26.0
2017-01-19,20.0
2017-01-20,18.0
2017-01-21,18.0
2017-01-22,22.0
2017-01-23,14.0
2017-01-24,10.0
2017-01-25,13.0
2017-01-26,15.0
2017-01-27,19.0
2017-01-28,26.0
2017-01-29,32.0
2017-01-30,33.0
2017-01-31,33.0
2017-02-01,30.0
2017-02-02,29.0
2017-02-03,
2017-02-04,29.0
2017-02-05,27.0
2017-02-06,27.0
2017-02-07,31.0
2017-02-08,36.0
2017-02-09,34.0
2017-02-10,28.0
2017-02-11,21.0
2017-02-12,25.0
2017-02-13,27.0
2017-02-14,29.0
2017-02-15,33.0
2017-02-16,29.0
2017-02-17,27.0
2017-02-18,28.0
2017-02-19,27.0
2017-02-20,28.0
2017-02-21,25.0
2017-02-22,17.0
2017-02-23,13.0
2017-02-24,15.0
2017-02-25,16.0
2017-02-26,17.0
2017-02-27,16.0
2017-02-28,15.0
2017-03-01,24.0
2017-03-02,30.0
2017-03-03,30.0
2017-03-04,29.0
2017-03-05,14.0
2017-03-06,18.0
2017-03-07,29.0
2017-03-08,35.0
2017-03-09,38.0
2017-03-10,38.0
2017-03-11,37.0
2017-03-12,38.0
2017-03-13,40.0
2017-03-14,40.0
2017-03-15,38.0
2017-03-16,39.0
2017-03-17,42.0
2017-03-18,41.0
2017-03-19,40.0
2017-03-20,37.0
2017-03-21,31.0
2017-03-22,26.0
2017-03-23,25.0
2017-03-24,28.0
2017-03-25,30.0
2017-03-26,29.0
2017-03-27,27.0
2017-03-28,31.0
2017-03-29,40.0
2017-03-30,27.0
2017-03-31,23.0
2017-04-01,35.0
2017-04-02,38.0
2017-04-03,34.0
2017-04-04,36.0
2017-04-05,39.0
2017-04-06,34.0
2017-04-07,28.0
2017-04-08,19.0
2017-04-09,23.0
2017-04-10,28.0
2017-04-11,33.0
2017-04-12,35.0
2017-04-13,28.0
2017-04-14,28.0
2017-04-15,35.0
2017-04-16,33.0
2017-04-17,35.0
2017-04-18,32.0
2017-04-19,30.0
2017-04-20,36.0
2017-04-21,41.0
2017-04-22,41.0
2017-04-23,39.0
2017-04-24,35.0
2017-04-25,37.0
2017-04-26,40.0
2017-04-27,38.0
2017-04-28,28.0
2017-04-29,33.0
2017-04-30,41.0
2017-05-01,44.0
2017-05-02,47.0
2017-05-03,48.0
2017-05-04,49.0
2017-05-05,46.0
2017-05-06,35.0
2017-05-07,31.0
2017-05-08,40.0
2017-05-09,42.0
2017-05-10,45.0
2017-05-11,44.0
2017-05-12,35.0
2017-05-13,31.0
2017-05-14,30.0
2017-05-15,31.0
2017-05-16,33.0
2017-05-17,34.0
2017-05-18,35.0
2017-05-19,42.0
2017-05-20,45.0
2017-05-21,47.0
2017-05-22,48.0
2017-05-23,50.0
2017-05-24,48.0
2017-05-25,45.0
2017-05-26,43.0
2017-05-27,45.0
2017-05-28,47.0
2017-05-29,48.0
2017-05-30,49.0
2017-05-31,39.0
2017-06-01,46.0
2017-06-02,49.0
2017-06-03,51.0
2017-06-04,49.0
2017-06-05,48.0
2017-06-06,50.0
2017-06-07,50.0
2017-06-08,45.0
2017-06-09,43.0
2017-06-10,43.0
2017-06-11,30.0
2017-06-12,32.0
2017-06-13,44.0
2017-06-14,48.0
2017-06-15,51.0
2017-06-16,54.0
2017-06-17,57.0
2017-06-18,54.0
2017-06-19,57.0
2017-06-20,59.0
2017-06-21,58.0
2017-06-22,58.0
2017-06-23,58.0
2017-06-24,54.0
2017-06-25,56.0
2017-06-26,52.0
2017-06-27,52.0
2017-06-28,51.0
2017-06-29,53.0
2017-06-30,56.0
2017-07-01,55.0
2017-07-02,56.0
2017-07-03,58.0
2017-07-04,56.0
2017-07-05,57.0
2017-07-06,60.0
2017-07-07,62.0
2017-07-08,62.0
2017-07-09,60.0
2017-07-10,58.0
2017-07-11,57.0
2017-07-12,56.0
2017-07-13,58.0
2017-07-14,59.0
2017-07-15,60.0
2017-07-16,60.0
2017-07-17,56.0
2017-07-18,55.0
2017-07-19,55.0
2017-07-20,56.0
2017-07-21,59.0
2017-07-22,61.0
2017-07-23,61.0
2017-07-24,57.0
2017-07-25,56.0
2017-07-26,55.0
2017-07-27,56.0
2017-07-28,58.0
2017-07-29,58.0
2017-07-30,58.0
2017-07-31,60.0
2017-08-01,60.0
2017-08-02,60.0
2017-08-03,57.0
2017-08-04,56.0
2017-08-05,52.0
2017-08-06,51.0
2017-08-07,52.0
2017-08-08,55.0
2017-08-09,55.0
2017-08-10,55.0
2017-08-11,54.0
2017-08-12,54.0
2017-08-13,52.0
2017-08-14,49.0
2017-08-15,51.0
2017-08-16,54.0
