Level (AF),incremental In (AF) ,WY 2008,kondolf,Canal Diversions (AF),,,12892.555
"864,915.69","29,334", 605 ,4958.675,8796.68945,,,
"879,888.53","30,367", 605 ,4958.675,9102.14383,,,
"895,589.30","29,496", 607 ,4958.675,9318.34206,,,
"910,201.15","26,803", 609 ,4958.675,9955.03593,,,
"921,480.76","24,956", 611 ,4958.675,9566.27581,,,
"931,300.54","22,582", 605 ,4958.675,8669.74737,,,
"939,648.59","21,378", 601 ,4958.675,8760.98699,,,
"946,705.41","21,404", 601 ,4958.675,8860.16049,,,
"953,688.83","18,619", 601 ,4958.675,8665.78043,,,
"958,081.85","16,387", 599 ,4958.675,8667.7639,,,
"960,243.46","14,618", 599 ,4958.675,8263.13602,,,
"961,040.44","16,663", 599 ,4958.675,7422.14474,,,
"964,723.37","19,142", 597 ,4958.675,6870.74008,,,
"971,439.03","22,233", 599 ,4958.675,7108.75648,,,
"981,004.94","23,722", 609 ,4958.675,8967.26787,,,
"990,191.99","24,381", 611 ,4958.675,10946.77093,,,
"998,056.07","23,464", 609 ,4958.675,11295.86165,,,
"1,004,656.68","22,731", 609 ,4958.675,10819.82885,,,
"1,010,999.44","23,175", 607 ,4958.675,10730.5727,,,
"1,017,877.74","23,187", 603 ,4958.675,10768.25863,,,
"1,024,734.22","22,034", 601 ,4958.675,10766.27516,,,
"1,030,442.27","21,961", 605 ,4958.675,10559.99428,,,
"1,036,279.25","21,074", 605 ,4958.675,10143.46558,,,
"1,041,646.15","19,696", 605 ,4958.675,9980.82104,,,
"1,045,797.17","19,775", 599 ,4958.675,9796.35833,,,
"1,050,217.96","18,966", 595 ,4958.675,9334.20982,,,
"1,054,295.60","17,863", 591 ,694.2145,8959.33399,,,
"1,061,913.74","19,543", 591 ,694.2145,9264.78837,,,
"1,070,906.43","17,881", 595 ,694.2145,9947.10205,,,
"1,077,550.69","15,142", 597 ,694.2145,10746.44046,,,
"1,080,654.45","14,668", 595 ,694.2145,11105.44853,,,
"1,082,927.13","12,502", 593 ,694.2145,10869.4156,,,
"1,083,271.89","11,960", 591 ,694.2145,10464.78772,,,
"1,083,481.77","11,228", 591 ,694.2145,10143.46558,,,
"1,083,281.07","10,024", 589 ,694.2145,10179.16804,,,
"1,081,842.69","10,026", 591 ,694.2145,10958.67175,,,
"1,079,624.81","9,743", 597 ,694.2145,11160.98569,,,
"1,076,915.02","9,408", 601 ,694.2145,11151.06834,,,
"1,073,875.97","10,167", 597 ,694.2145,11192.72121,,,
"1,071,558.90","9,209", 597 ,694.2145,10673.05207,,,
"1,068,803.49","8,257", 595 ,694.2145,10262.47378,,,
"1,065,508.58","8,983", 597 ,694.2145,10540.15958,,,
"1,062,659.95","7,478", 599 ,694.2145,11012.22544,,,
"1,057,831.81","9,955", 522 ,694.2145,11188.75427,,,
"1,055,381.90","8,549", 595 ,694.2145,11141.15099,,,
"1,051,499.88","9,943", 593 ,694.2145,11127.2667,,,
"1,049,028.11","11,183", 591 ,694.2145,10861.48172,,,
"1,048,063.78","11,088", 589 ,694.2145,10655.20084,,,
"1,047,212.50","11,272", 593 ,694.2145,10774.20904,,,
"1,046,422.72","11,068", 587 ,694.2145,11101.48159,,,
"1,045,107.31","11,032", 589 ,694.2145,11168.91957,,,
"1,043,686.78","11,076", 593 ,694.2145,11198.67162,,,
"1,042,276.17","9,802", 593 ,694.2145,11186.7708,,,
"1,039,604.06","8,987", 645 ,694.2145,10619.49838,,,
"1,036,632.43","7,638", 697 ,694.2145,10458.83731,,,
"1,032,421.09","7,654", 693 ,694.2145,10881.31642,,,
"1,027,807.11","7,904", 657 ,694.2145,10821.81232,,,
"1,023,538.27","7,468", 599 ,694.2145,10431.06873,,,
"1,019,281.37","7,010", 599 ,694.2145,10216.85397,,,
"1,014,780.51","7,380", 599 ,694.2145,10252.55643,,,
"1,010,614.85","5,651", 597 ,694.2145,9590.07745,,,
"1,005,384.07","5,320", 597 ,694.2145,8836.35885,,,
"1,000,575.77","4,130", 597 ,694.2145,9092.22648,,,
"994,321.52","4,865", 595 ,694.2145,9841.97814,,,
"988,055.37","4,699", 595 ,694.2145,9629.74685,,,
"981,834.84","4,358", 595 ,694.2145,9129.91241,,,
"975,772.98","4,588", 595 ,694.2145,8870.07784,,,
